seed,model,final_signal_quality,irreversible_recall_final_phase,false_alarm_rate_final_phase,irreversible_core_violation_rate_final_phase,net_vigilance_value_final_phase,long_term_trajectory_value,state_complexity_count
16024,simple_static_threshold,0.58,0.7063492063492064,0.17772511848341233,0.48412698412698413,0.6724867223350636,0.641606108478145,0
16024,simple_quality_schedule,0.92,0.8761061946902655,0.04265402843601896,0.26548672566371684,0.8706196367906723,0.7417303844128489,0
16024,simple_online_calibration,0.754178649432756,0.8211382113821138,0.13507109004739337,0.3008130081300813,0.7954621729013697,0.7304597156398105,1
16025,tdc_feedback_development,0.9138999863434056,0.8831168831168831,0.04028436018957346,0.2727272727272727,0.871885268770739,0.7872785676671945,4
16025,simple_static_threshold,0.58,0.6231884057971014,0.174565560821485,0.463768115942029,0.6397680472559928,0.6444038967877819,0
16025,simple_quality_schedule,0.92,0.8549618320610687,0.05134281200631911,0.25190839694656486,0.8620825826369042,0.7367472353870461,0
16025,simple_online_calibration,0.7079552439146408,0.7711864406779662,0.13744075829383887,0.3813559322033898,0.7494678467928353,0.6996498156924696,1
16026,tdc_feedback_development,0.9144318604861639,0.8616352201257862,0.03712480252764613,0.27672955974842767,0.8621297556743136,0.774836756187468,4
16026,simple_static_threshold,0.58,0.7007874015748031,0.19273301737756715,0.3779527559055118,0.6882171760520457,0.6636882569773557,0
16026,simple_quality_schedule,0.92,0.8364779874213837,0.04265402843601896,0.3333333333333333,0.8392176219857522,0.7346635071090052,0
16026,simple_online_calibration,0.707396410802602,0.75,0.16113744075829384,0.35,0.7413819734687315,0.6878588730911003,1
16027,tdc_feedback_development,0.9155471959608339,0.9253731343283582,0.04028436018957346,0.1865671641791045,0.9083796849681507,0.8045007898894166,4
16027,simple_static_threshold,0.58,0.6090225563909775,0.1911532385466035,0.48872180451127817,0.6250851417643636,0.6305302790942593,0
16027,simple_quality_schedule,0.92,0.9032258064516129,0.04660347551342812,0.20161290322580644,0.8948083371553789,0.7397119536598208,0
16027,simple_online_calibration,0.6743808471966242,0.6875,0.1500789889415482,0.4296875,0.694578829291184,0.682124275934702,1
