seed,model,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_Q,composite
19023,FULL,0.898876404494382,0.24719101123595505,0.10599478714161599,0.7204149999999975,0.94,0.816769961111002
19023,simple_two_signal_learner,0.8202247191011236,0.3146067415730337,0.17028670721112077,0.7072983333333304,0.896923032549074,0.7601829722281872
19024,PTVM,0.96,0.25,0.13895993179880647,0.7119658333333299,0.94,0.8256994719735711
19024,FULL,0.9,0.3,0.0886615515771526,0.6833958333333302,0.94,0.798116648017902
19024,simple_two_signal_learner,0.83,0.34,0.1287297527706735,0.6577858333333301,0.8532749676834597,0.7527005077791977
19025,PTVM,0.9375,0.19642857142857142,0.16479723899913717,0.7564683333333303,0.94,0.8383004926763623
19025,FULL,0.9107142857142857,0.22321428571428573,0.10698878343399482,0.7274366666666638,0.94,0.8278721242655813
19025,simple_two_signal_learner,0.8839285714285714,0.25,0.17083692838654013,0.6901933333333304,0.905231104452038,0.791059519084596
19026,PTVM,0.99,0.14,0.16681299385425813,0.7521874999999969,0.94,0.8666842762291476
19026,FULL,0.91,0.21,0.11589113257243196,0.7206108333333303,0.94,0.8274744818188462
19026,simple_two_signal_learner,0.81,0.29,0.13871817383669885,0.703657499999997,0.8644567924437361,0.7686707402326595
19027,PTVM,0.9741379310344828,0.1810344827586207,0.16400336417157274,0.7397416666666636,0.94,0.849117502453041
19027,FULL,0.9310344827586207,0.22413793103448276,0.127838519764508,0.7069499999999966,0.94,0.8244456581160631
19027,simple_two_signal_learner,0.7931034482758621,0.3448275862068966,0.20689655172413793,0.6464666666666633,0.8797386589417646,0.7219614942528727
19028,PTVM,0.9433962264150944,0.22641509433962265,0.15982142857142856,0.7118466666666633,0.94,0.8224124752920027
19028,FULL,0.8867924528301887,0.27358490566037735,0.11428571428571428,0.6922383333333303,0.94,0.797843949910152
19028,simple_two_signal_learner,0.7924528301886793,0.3490566037735849,0.19375,0.6518849999999966,0.9011992029642683,0.7246929481132067
19029,PTVM,0.9435483870967742,0.2661290322580645,0.13991416309012875,0.7403108333333307,0.94,0.8236271337798231
19029,FULL,0.9274193548387096,0.27419354838709675,0.0944206008583691,0.7220199999999976,0.94,0.8212982991831642
19029,simple_two_signal_learner,0.8145161290322581,0.3548387096774194,0.14334763948497853,0.6823449999999972,0.8341218459907731,0.7475618833933262
19030,PTVM,0.9215686274509803,0.22549019607843138,0.1397459165154265,0.7278024999999968,0.94,0.8240994809126001
19030,FULL,0.8921568627450981,0.2549019607843137,0.09709618874773139,0.7078266666666637,0.94,0.8114589975445707
19030,simple_two_signal_learner,0.8333333333333334,0.3137254901960784,0.16696914700544466,0.6618933333333297,0.8375094354031118,0.753648131383224
19031,PTVM,0.9789473684210527,0.17894736842105263,0.15492957746478872,0.7471533333333304,0.94,0.8547497862614275
19031,FULL,0.9263157894736842,0.22105263157894736,0.10299295774647887,0.7172033333333304,0.94,0.8313338207314052
19031,simple_two_signal_learner,0.7894736842105263,0.3368421052631579,0.1619718309859155,0.6880708333333303,0.8275787119455952,0.7422549210835179
19032,PTVM,0.9819819819819819,0.21621621621621623,0.177007299270073,0.6985266666666626,0.94,0.8297707473531916
19032,FULL,0.963963963963964,0.22522522522522523,0.1322992700729927,0.6697416666666627,0.94,0.82385844553495
19032,simple_two_signal_learner,0.8918918918918919,0.25225225225225223,0.22262773722627738,0.6434333333333293,0.9146467561452419,0.7708372903925814
19033,PTVM,0.90625,0.22916666666666666,0.1660839160839161,0.756099166666664,0.94,0.8203913417832162
19033,FULL,0.8958333333333334,0.23958333333333334,0.11625874125874126,0.729289166666664,0.94,0.8179247100815845
19033,simple_two_signal_learner,0.8541666666666666,0.2708333333333333,0.18269230769230768,0.7165783333333307,0.9066309287758402,0.7811477884615379
19034,PTVM,0.974025974025974,0.23376623376623376,0.1438474870017331,0.7482466666666634,0.94,0.8420584030325529
19034,FULL,0.9090909090909091,0.2727272727272727,0.10138648180242635,0.7230616666666633,0.94,0.8150335748516351
19034,simple_two_signal_learner,0.7662337662337663,0.4025974025974026,0.1707105719237435,0.6750166666666633,0.8519128125393293,0.7138328315026963
19035,PTVM,0.9509803921568627,0.24509803921568626,0.15711805555555555,0.7123674999999967,0.94,0.8206878717320254
19035,FULL,0.9117647058823529,0.28431372549019607,0.1076388888888889,0.6914516666666637,0.94,0.8037861192810449
19035,simple_two_signal_learner,0.803921568627451,0.3627450980392157,0.1892361111111111,0.6582824999999969,0.8890501965556551,0.7272135988562084
19036,PTVM,0.9032258064516129,0.3118279569892473,0.16637478108581435,0.7365983333333301,0.94,0.7938853798043417
19036,FULL,0.8602150537634409,0.34408602150537637,0.11996497373029773,0.7135349999999968,0.94,0.7764337660066278
19036,simple_two_signal_learner,0.7956989247311828,0.3978494623655914,0.20665499124343256,0.672112499999996,0.9094158109761329,0.7159444385792694
19037,PTVM,0.9333333333333333,0.23333333333333334,0.144473455178416,0.7477866666666636,0.94,0.8297186422976494
19037,FULL,0.8888888888888888,0.2777777777777778,0.09747606614447346,0.7246558333333304,0.94,0.8088909673266602
19037,simple_two_signal_learner,0.8444444444444444,0.3111111111111111,0.1888598781549173,0.6929033333333302,0.8838783174621946,0.7610094132579046
19038,PTVM,0.978494623655914,0.23655913978494625,0.15,0.7414866666666635,0.94,0.8397802688172036
19038,FULL,0.956989247311828,0.25806451612903225,0.09224137931034483,0.7299791666666642,0.94,0.8366271609658874
19038,simple_two_signal_learner,0.8494623655913979,0.3655913978494624,0.19224137931034482,0.7073674999999967,0.8735682736454417,0.751834459352984
19039,PTVM,0.9405940594059405,0.19801980198019803,0.15297202797202797,0.7491849999999969,0.94,0.8393751117323263
