seed,model,trap_capture_rate,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trajectory_value,integrated_score,final_quality
17038,simple_frozen_core,0.15737704918032788,0.7578947368421053,0.07666666666666666,0.4105263157894737,0.6699140740740714,0.7786206389927459,0.8
17038,tdc_evidence_validated,0.15527610716238383,0.8380952380952381,0.06444444444444444,0.3142857142857143,0.7316466666666648,0.8347271453844527,0.9097433173447136
17039,simple_time_schedule,0.23681257014590348,0.8367346938775511,0.07333333333333333,0.30612244897959184,0.6752992592592556,0.8193361762294141,0.92
17039,simple_anticapture,0.21714922048997773,0.7685185185185185,0.11666666666666667,0.39814814814814814,0.6863325925925892,0.7673283099067886,0.79
17039,simple_frozen_core,0.1577495863210149,0.7708333333333334,0.07444444444444444,0.3125,0.7110762962962941,0.8042472143367858,0.8
17039,tdc_evidence_validated,0.1515824541921155,0.8207547169811321,0.07111111111111111,0.29245283018867924,0.7324629629629604,0.8337977447182895,0.9113379315487353
17040,simple_time_schedule,0.23830985915492958,0.8476190476190476,0.058888888888888886,0.3047619047619048,0.6908681481481447,0.8257947823235708,0.92
17040,simple_anticapture,0.21842250413678985,0.7184466019417476,0.10888888888888888,0.42718446601941745,0.6971466666666633,0.7492378880112526,0.79
17040,simple_frozen_core,0.16100766703176342,0.7731958762886598,0.09222222222222222,0.422680412371134,0.6904622222222196,0.7781206472726268,0.8
17040,tdc_evidence_validated,0.15224534501642936,0.8468468468468469,0.04888888888888889,0.35135135135135137,0.7204266666666642,0.8324802285058959,0.909641294104304
17041,simple_time_schedule,0.225201072386059,0.8,0.06666666666666667,0.31,0.7040562962962933,0.8127706432330454,0.92
17041,simple_anticapture,0.20901194353963085,0.8053097345132744,0.09555555555555556,0.2743362831858407,0.6671511111111078,0.8065351136157631,0.79
17041,simple_frozen_core,0.15551839464882944,0.6704545454545454,0.10444444444444445,0.5,0.6615977777777741,0.7311242184723488,0.8
17041,tdc_evidence_validated,0.16712479384277076,0.8518518518518519,0.057777777777777775,0.3611111111111111,0.7037896296296271,0.8270980241119816,0.9094026668630901
17042,simple_time_schedule,0.24182638105975196,0.8508771929824561,0.05555555555555555,0.35964912280701755,0.6758466666666629,0.8150159018374571,0.92
17042,simple_anticapture,0.21215531795160383,0.7663551401869159,0.11777777777777777,0.35514018691588783,0.7004422222222189,0.7766286621080132,0.79
17042,simple_frozen_core,0.14646187602852442,0.8144329896907216,0.09555555555555556,0.29896907216494845,0.695609629629627,0.8163940039973296,0.8
17042,tdc_evidence_validated,0.17050438596491227,0.7864077669902912,0.06111111111111111,0.3786407766990291,0.6780622222222189,0.8026620548844431,0.90717032637803
17043,simple_time_schedule,0.24809575625680086,0.8660714285714286,0.06555555555555556,0.29464285714285715,0.692070370370367,0.8302796260888587,0.92
17043,simple_anticapture,0.21193530395984383,0.8068181818181818,0.11666666666666667,0.375,0.7312962962962932,0.7857642570903306,0.79
