seed,model,stage,A_TF,I,C_T,R_C,H_self,latent_integration_score,ethical_sensitivity,target_reliability,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,deep_path_activation_rate
10764,emergent_nonlinear,3,0.321928006450275,0.27209219642311794,0.3661282119999866,0.3344896649788019,0.8182556362514232,0.32947814969351263,0.7248528219039124,0.5527165039509621,0.597,0.5995423340961098,0.247,0.5198237885462555,0.0
10764,static_reliability,4,0.42025427247449165,0.44692686962259875,0.5304167784151872,0.45820971420833745,0.6523323186528559,0.5091713265747635,0.7446819270769194,0.62,0.633,0.6363636363636364,0.2638499999999981,0.6309859154929578,0.343
10764,linear_internal_map,4,0.42025427247449165,0.44692686962259875,0.5304167784151872,0.45820971420833745,0.6523323186528559,0.5091713265747635,0.7446819270769194,0.7189436704271484,0.631,0.6890380313199105,0.3375999999999981,0.7230113636363636,0.308
10764,emergent_nonlinear,4,0.42025427247449165,0.44692686962259875,0.5304167784151872,0.45820971420833745,0.6523323186528559,0.5091713265747635,0.7446819270769194,0.6043325364399568,0.581,0.5919282511210763,0.20129999999999906,0.6038011695906432,0.314
10764,static_reliability,5,0.6080263391287538,0.6885305520915356,0.7269021717773965,0.6033244853733919,0.58791770006607,0.760697392327403,0.8037849997320052,0.62,0.606,0.5925155925155925,0.17684999999999843,0.5975773889636609,0.743
10764,linear_internal_map,5,0.6080263391287538,0.6885305520915356,0.7269021717773965,0.6033244853733919,0.58791770006607,0.760697392327403,0.8037849997320052,0.8270998787007833,0.766,0.760593220338983,0.502649999999994,0.820615796519411,0.747
10764,emergent_nonlinear,5,0.6080263391287538,0.6885305520915356,0.7269021717773965,0.6033244853733919,0.58791770006607,0.760697392327403,0.8037849997320052,0.7362604109474447,0.7,0.6888888888888889,0.38224999999999426,0.7311258278145696,0.755
10765,static_reliability,1,0.18916860356042392,0.25227926884764584,0.282990717128013,0.2906088204988692,0.6720799641676876,0.27762860208961054,0.6624123568482883,0.62,0.624,0.6282973621103117,0.314,0.6035313001605136,0.0
10765,linear_internal_map,1,0.18916860356042392,0.25227926884764584,0.282990717128013,0.2906088204988692,0.6720799641676876,0.27762860208961054,0.6624123568482883,0.6193802988985325,0.606,0.6134831460674157,0.262,0.5949764521193093,0.0
10765,emergent_nonlinear,1,0.18916860356042392,0.25227926884764584,0.282990717128013,0.2906088204988692,0.6720799641676876,0.27762860208961054,0.6624123568482883,0.5444205763343377,0.604,0.6338028169014085,0.292,0.5430894308943089,0.0
10765,static_reliability,2,0.24096372754453826,0.2749304322031841,0.31787057623638554,0.2509520499177709,0.7881702724951675,0.2856700549306144,0.6921029200182448,0.62,0.625,0.5972850678733032,0.269,0.6584234930448223,0.0
10765,linear_internal_map,2,0.24096372754453826,0.2749304322031841,0.31787057623638554,0.2509520499177709,0.7881702724951675,0.2856700549306144,0.6921029200182448,0.6228381236201642,0.578,0.5982721382289417,0.206,0.6308411214953271,0.0
10765,emergent_nonlinear,2,0.24096372754453826,0.2749304322031841,0.31787057623638554,0.2509520499177709,0.7881702724951675,0.2856700549306144,0.6921029200182448,0.5457072087888983,0.61,0.6180257510729614,0.254,0.5397301349325337,0.0
10765,static_reliability,3,0.3118959427850114,0.3200791714880651,0.4247573484921318,0.3490388205264308,0.8462697319015138,0.35283923768325626,0.7351934857774296,0.62,0.606,0.6034858387799564,0.242,0.6297335203366059,0.0
