quality,seed,irreversible_recall,reversible_recall,critical_precision,false_alarm_rate,probe_rate,irreversible_core_violation_rate,net_vigilance_value,long_term_trajectory_value
0.6,15489,0.6151898734177215,0.5694716242661448,0.31861575178997614,0.21961538461538463,0.10288461538461538,0.46582278481012657,0.5900680624067922,0.6208386538461501
0.6,15490,0.6299212598425197,0.5111524163568774,0.31212121212121213,0.21826923076923077,0.10192307692307692,0.4435695538057743,0.5888776312989278,0.6149711538461492
0.6,15491,0.6242937853107344,0.5655172413793104,0.32600950118764843,0.21826923076923077,0.09384615384615384,0.4576271186440678,0.5959545320724884,0.6231584615384588
0.6,15492,0.615979381443299,0.5207207207207207,0.31004110393423373,0.22596153846153846,0.09538461538461539,0.4896907216494845,0.5783502927051247,0.5910688461538427
0.6,15493,0.685785536159601,0.5640074211502782,0.3360417875798027,0.22,0.10153846153846154,0.39650872817955113,0.6296436077583956,0.6375149999999965
0.6,15494,0.654911838790932,0.5526802218114603,0.3423147581139008,0.20653846153846153,0.10115384615384615,0.43828715365239296,0.6120983385566071,0.6153053846153802
0.6,15495,0.6151898734177215,0.6106032906764168,0.3557336621454994,0.20096153846153847,0.10057692307692308,0.44050632911392407,0.6068874573195995,0.6326186538461501
0.6,15496,0.631979695431472,0.5517857142857143,0.34065934065934067,0.2076923076923077,0.10596153846153847,0.434010152284264,0.6022013527082055,0.6225563461538417
0.6,15497,0.6098191214470284,0.5788461538461539,0.3188836104513064,0.2205769230769231,0.10384615384615385,0.46511627906976744,0.5892807060594859,0.6224469230769202
0.6,15498,0.655421686746988,0.5862068965517241,0.3331412103746398,0.2225,0.10384615384615385,0.41686746987951806,0.617205115718149,0.6327711538461505
0.6,15499,0.6520547945205479,0.5502846299810247,0.3188405797101449,0.2169230769230769,0.09326923076923077,0.4684931506849315,0.6030385960343612,0.6255944230769193
0.6,15500,0.6370558375634517,0.5694915254237288,0.3559733171619163,0.20423076923076924,0.09538461538461539,0.47715736040609136,0.6051133231522299,0.5964834615384579
0.6,15501,0.6428571428571429,0.5613382899628253,0.3296432964329643,0.20961538461538462,0.1026923076923077,0.4230769230769231,0.6080718802023594,0.6405165384615352
0.6,15502,0.6855670103092784,0.5860805860805861,0.3523752254960914,0.20711538461538462,0.10846153846153846,0.43556701030927836,0.6315562976658994,0.6373111538461502
0.6,15503,0.6810126582278481,0.5879120879120879,0.3509815585960738,0.2098076923076923,0.10307692307692308,0.40759493670886077,0.6331518917046327,0.6437819230769195
0.6,15504,0.625,0.521891418563923,0.3153846153846154,0.2225,0.10153846153846154,0.45478723404255317,0.5872396973466597,0.6080269230769193
0.6,15505,0.6710526315789473,0.536283185840708,0.33214285714285713,0.21576923076923077,0.09673076923076923,0.4236842105263158,0.615924540503744,0.629366346153843
0.6,15506,0.6666666666666666,0.5448154657293497,0.35714285714285715,0.20076923076923076,0.1,0.4024691358024691,0.6227972551434766,0.6296661538461491
0.6,15507,0.6,0.5577617328519856,0.31430253090052973,0.22403846153846155,0.09326923076923077,0.4746666666666667,0.580284231582392,0.6095171153846131
0.6,15508,0.607940446650124,0.5498981670061099,0.3109903381642512,0.21942307692307692,0.10134615384615385,0.4491315136476427,0.5849384830962309,0.6216617307692273
0.6,15509,0.6393034825870647,0.5777777777777777,0.3337243401759531,0.21846153846153846,0.10192307692307692,0.4253731343283582,0.6086670001747037,0.6286307692307656
0.6,15510,0.6288659793814433,0.532967032967033,0.3167554766133807,0.22192307692307692,0.09846153846153846,0.43041237113402064,0.5939947188047223,0.6197603846153823
