seed,model,irreversible_recall,reversible_recall,critical_precision,false_alarm_rate,probe_rate,review_trigger_rate,irreversible_core_violation_rate,reversible_miss_rate,net_vigilance_value,long_term_trajectory_value,final_threshold_irreversible,final_threshold_reversible
15250,hierarchical_no_probe,0.8656429942418427,0.607871720116618,0.3911671924290221,0.1986764705882353,0.0,0.3263235294117647,0.236084452975048,0.48250728862973763,0.7473951583244667,0.7303432352941189,0.28,0.74
15250,hierarchical_boundary_probe,0.8666666666666667,0.6030640668523677,0.43190661478599224,0.17176470588235293,0.05911764705882353,0.3023529411764706,0.259047619047619,0.4763231197771588,0.7491479330689388,0.7192302941176482,0.28,0.5519999999999998
15250,hierarchical_recall_guard_probe,0.8839458413926499,0.6034255599472991,0.44138929088277856,0.17029411764705882,0.3129411764705882,0.3048529411764706,0.23404255319148937,0.4795783926218709,0.74570885496415,0.718614411764709,0.28,0.74
15250,global_probe,0.845691382765531,0.6020864381520119,0.3971153846153846,0.18441176470588236,0.23397058823529412,0.3058823529411765,0.2685370741482966,0.46944858420268254,0.7224165040494973,0.7235742647058854,0.28,0.74
15251,hierarchical_no_probe,0.8650793650793651,0.6042857142857143,0.3933150183150183,0.1948529411764706,0.0,0.3211764705882353,0.2619047619047619,0.4785714285714286,0.7441692846369319,0.7218270588235305,0.28,0.74
15251,hierarchical_boundary_probe,0.8382642998027613,0.6080892608089261,0.42061553492916465,0.17441176470588235,0.065,0.3010294117647059,0.28402366863905326,0.4839609483960948,0.7328274458293964,0.7097488235294104,0.28,0.74
15251,hierarchical_recall_guard_probe,0.8648148148148148,0.605301914580265,0.45304437564499483,0.15588235294117647,0.3095588235294118,0.285,0.22037037037037038,0.48306332842415317,0.7428905319950373,0.7363298529411807,0.28,0.43400000000000016
15251,global_probe,0.8632958801498127,0.6019151846785226,0.4451581027667984,0.16514705882352942,0.2488235294117647,0.29764705882352943,0.25280898876404495,0.4692202462380301,0.7394316373000924,0.7164064705882366,0.28,0.714
15252,hierarchical_no_probe,0.852882703777336,0.604306864064603,0.3881520778072502,0.20352941176470588,0.0,0.3326470588235294,0.28628230616302186,0.4845222072678331,0.7345343068137993,0.7005194117647076,0.28,0.74
15252,hierarchical_boundary_probe,0.8659420289855072,0.6086330935251798,0.4282319391634981,0.17691176470588235,0.06661764705882353,0.30941176470588233,0.26268115942028986,0.4676258992805755,0.7478194441962791,0.715973382352943,0.28,0.74
