seed,model,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,candidate_acceptance_rate
12425,ethicalsense_plus_idealgap,0.502027688521057,0.94,0.8931123988991554,0.9158011590092398,0.3048172284199966,0.5897619047619047,0.6016949152542372,0.2002761904761949,0.2870639534883721,0.6847826086956522
12426,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5111904761904762,0.5065754865860074,0.028611904761904557,0.3274021352313167,0.0
12426,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.5992857142857143,0.6039707419017764,0.20661428571429058,0.29039145907473307,0.0
12426,ethicalsense_fed_thirdfactor,0.95,0.5045599999999992,0.32,0.4,0.64,0.49523809523809526,0.48643006263048016,-0.010447619047619327,0.35195530726256985,0.0
12426,ethicalsense_plus_idealgap,0.486868952862913,0.7253409054477792,0.8613411948950361,0.8872070754055321,0.32310066896063594,0.5292857142857142,0.5157841140529531,0.03975714285714267,0.32666190135811296,0.6832844574780058
12427,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5288095238095238,0.5292008196721312,0.055366666666667036,0.33741888968997835,0.0
12427,success_fed_thirdfactor,0.95,0.9375,0.32,0.4,0.64,0.6114285714285714,0.6073490813648293,0.22382142857143414,0.28233555062823357,0.0
12427,ethicalsense_fed_thirdfactor,0.95,0.5038999999999998,0.32,0.4,0.64,0.5009523809523809,0.49818370524130773,0.0036880952380947437,0.3635693215339233,0.0
12427,ethicalsense_plus_idealgap,0.4994090939681901,0.94,0.8933923196561842,0.9160530876905666,0.30336101202478943,0.5695238095238095,0.5629242819843342,0.13734523809524044,0.29690869877785764,0.7027027027027027
12428,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5066666666666667,0.5078534031413613,0.023023809523809988,0.33052792654934965,0.0
12428,success_fed_thirdfactor,0.95,0.9375,0.32,0.4,0.64,0.6135714285714285,0.6227795193312434,0.2389000000000058,0.2707554225878833,0.0
12428,ethicalsense_fed_thirdfactor,0.95,0.5,0.32,0.4,0.64,0.5052380952380953,0.5020942408376964,0.01609523809523784,0.3520710059171598,0.0
12428,ethicalsense_plus_idealgap,0.476016803037085,0.5,0.823085153219337,0.8527766378974023,0.34859860826551164,0.49666666666666665,0.502053388090349,-0.0022476190476194134,0.3505226480836237,0.6571428571428571
12429,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5226190476190476,0.5196483971044468,0.04430476190476232,0.32732516222062,0.0
12429,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.61,0.6106911447084233,0.23627142857143443,0.2813156053184045,0.0
12429,ethicalsense_fed_thirdfactor,0.95,0.5025599999999999,0.32,0.4,0.64,0.4969047619047619,0.4938080495356037,-0.007438095238095594,0.35035971223021584,0.0
