seed,model,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trap_capture_rate,capture_resistance,core_protection,trajectory_value,final_quality,is_tdc
17265,simple_q084_a016,0.8676470588235294,0.08333333333333333,0.25,0.1367231638418079,0.8632768361581921,0.75,0.72542333333333,0.84,False
17265,simple_q090_a008,0.8636363636363636,0.07166666666666667,0.3484848484848485,0.11893203883495146,0.8810679611650485,0.6515151515151515,0.7232222222222194,0.9,False
17265,simple_q090_a016,0.8518518518518519,0.05,0.2839506172839506,0.12790697674418605,0.872093023255814,0.7160493827160495,0.7061366666666642,0.9,False
17265,tdc_evidence_validated,0.7538461538461538,0.06666666666666667,0.3230769230769231,0.19294117647058823,0.8070588235294118,0.676923076923077,0.7484499999999965,0.904933401921758,True
17266,simple_q060_a000,0.5609756097560976,0.21,0.5,0.32681242807825084,0.6731875719217492,0.5,0.5933944444444419,0.6,False
17266,simple_q068_a000,0.7671232876712328,0.16833333333333333,0.3835616438356164,0.27283511269276395,0.727164887307236,0.6164383561643836,0.6367166666666638,0.68,False
17266,simple_q076_a000,0.7183098591549296,0.10166666666666667,0.38028169014084506,0.24748040313549832,0.7525195968645016,0.619718309859155,0.665944444444441,0.76,False
17266,simple_q084_a000,0.864406779661017,0.09833333333333333,0.288135593220339,0.18411967779056387,0.8158803222094362,0.711864406779661,0.71848333333333,0.84,False
17266,simple_q076_a008,0.8059701492537313,0.145,0.3283582089552239,0.2160919540229885,0.7839080459770115,0.6716417910447761,0.6600077777777751,0.76,False
17266,simple_q076_a016,0.6842105263157895,0.14333333333333334,0.4473684210526316,0.17411225658648338,0.8258877434135166,0.5526315789473684,0.6707544444444415,0.76,False
17266,simple_q084_a008,0.8,0.08166666666666667,0.4,0.17123287671232876,0.8287671232876712,0.6,0.7100022222222193,0.84,False
17266,simple_q084_a016,0.8412698412698413,0.095,0.3492063492063492,0.15730337078651685,0.8426966292134832,0.6507936507936508,0.7176111111111079,0.84,False
17266,simple_q090_a008,0.8589743589743589,0.07166666666666667,0.24358974358974358,0.14562002275312855,0.8543799772468714,0.7564102564102564,0.7093799999999972,0.9,False
17266,simple_q090_a016,0.8421052631578947,0.065,0.35526315789473684,0.10057803468208093,0.8994219653179191,0.6447368421052632,0.7244444444444423,0.9,False
17266,tdc_evidence_validated,0.8028169014084507,0.055,0.30985915492957744,0.20892018779342722,0.7910798122065728,0.6901408450704225,0.7075099999999968,0.9044182313370401,True
17267,simple_q060_a000,0.6521739130434783,0.215,0.5217391304347826,0.3276255707762557,0.6723744292237444,0.4782608695652174,0.5898444444444418,0.6,False
17267,simple_q068_a000,0.8275862068965517,0.19166666666666668,0.3448275862068966,0.2947845804988662,0.7052154195011338,0.6551724137931034,0.6610799999999962,0.68,False
17267,simple_q076_a000,0.7666666666666667,0.14666666666666667,0.35,0.22540045766590389,0.7745995423340961,0.65,0.7083066666666631,0.76,False
17267,simple_q084_a000,0.8507462686567164,0.06666666666666667,0.22388059701492538,0.15714285714285714,0.8428571428571429,0.7761194029850746,0.752087777777774,0.84,False
17267,simple_q076_a008,0.7,0.11166666666666666,0.4166666666666667,0.23271889400921658,0.7672811059907834,0.5833333333333333,0.6888899999999971,0.76,False
17267,simple_q076_a016,0.6962025316455697,0.13333333333333333,0.43037974683544306,0.1722543352601156,0.8277456647398844,0.5696202531645569,0.6950233333333302,0.76,False
17267,simple_q084_a008,0.8285714285714286,0.08333333333333333,0.4,0.18488372093023256,0.8151162790697675,0.6,0.7238688888888857,0.84,False
17267,simple_q084_a016,0.8431372549019608,0.085,0.21568627450980393,0.14097968936678615,0.8590203106332138,0.7843137254901961,0.7524377777777747,0.84,False
17267,simple_q090_a008,0.8985507246376812,0.06833333333333333,0.2318840579710145,0.14369158878504673,0.8563084112149533,0.7681159420289855,0.7420499999999969,0.9,False
17267,simple_q090_a016,0.9253731343283582,0.075,0.2835820895522388,0.10817031070195628,0.8918296892980437,0.7164179104477613,0.7325322222222195,0.9,False
17267,tdc_evidence_validated,0.8787878787878788,0.06333333333333334,0.24242424242424243,0.18319719953325556,0.8168028004667445,0.7575757575757576,0.7102766666666637,0.9047184333387448,True
17268,simple_q060_a000,0.6714285714285714,0.19333333333333333,0.38571428571428573,0.322690992018244,0.677309007981756,0.6142857142857143,0.58003222222222,0.6,False
17268,simple_q068_a000,0.6617647058823529,0.165,0.4264705882352941,0.2696245733788396,0.7303754266211604,0.5735294117647058,0.6487922222222187,0.68,False
17268,simple_q076_a000,0.7230769230769231,0.09666666666666666,0.36923076923076925,0.22767857142857142,0.7723214285714286,0.6307692307692307,0.7184466666666633,0.76,False
17268,simple_q084_a000,0.8375,0.10666666666666667,0.375,0.1888111888111888,0.8111888111888113,0.625,0.6820611111111082,0.84,False
17268,simple_q076_a008,0.7567567567567568,0.12333333333333334,0.2972972972972973,0.22401847575057737,0.7759815242494226,0.7027027027027026,0.6989311111111073,0.76,False
17268,simple_q076_a016,0.6666666666666666,0.145,0.5217391304347826,0.1716937354988399,0.8283062645011601,0.4782608695652174,0.6738066666666637,0.76,False
17268,simple_q084_a008,0.7794117647058824,0.08166666666666667,0.27941176470588236,0.1813953488372093,0.8186046511627907,0.7205882352941176,0.7196266666666635,0.84,False
17268,simple_q084_a016,0.890625,0.08833333333333333,0.328125,0.14015572858731926,0.8598442714126807,0.671875,0.7336922222222191,0.84,False
17268,simple_q090_a008,0.835820895522388,0.055,0.2835820895522388,0.12906976744186047,0.8709302325581395,0.7164179104477613,0.740258888888886,0.9,False
17268,simple_q090_a016,0.8522727272727273,0.055,0.3068181818181818,0.10776361529548088,0.8922363847045192,0.6931818181818181,0.7354877777777753,0.9,False
17268,tdc_evidence_validated,0.8301886792452831,0.041666666666666664,0.32075471698113206,0.1737142857142857,0.8262857142857143,0.679245283018868,0.713729999999998,0.9061115861893596,True
17269,simple_q060_a000,0.582089552238806,0.215,0.5074626865671642,0.3348729792147806,0.6651270207852193,0.4925373134328358,0.56119222222222,0.6,False
17269,simple_q068_a000,0.7108433734939759,0.16666666666666666,0.4578313253012048,0.27601809954751133,0.7239819004524887,0.5421686746987953,0.6073333333333312,0.68,False
17269,simple_q076_a000,0.7432432432432432,0.13,0.44594594594594594,0.21147356580427445,0.7885264341957255,0.5540540540540541,0.6447444444444418,0.76,False
17269,simple_q084_a000,0.7424242424242424,0.07166666666666667,0.3787878787878788,0.18442153493699887,0.8155784650630011,0.6212121212121212,0.7453588888888855,0.84,False
17269,simple_q076_a008,0.8125,0.13166666666666665,0.328125,0.23591549295774647,0.7640845070422535,0.671875,0.6869544444444409,0.76,False
17269,simple_q076_a016,0.7,0.12166666666666667,0.3875,0.18949771689497716,0.8105022831050228,0.6125,0.6753577777777752,0.76,False
17269,simple_q084_a008,0.7910447761194029,0.09166666666666666,0.31343283582089554,0.18778801843317972,0.8122119815668203,0.6865671641791045,0.7086311111111082,0.84,False
17269,simple_q084_a016,0.8,0.08833333333333333,0.3,0.14746543778801843,0.8525345622119815,0.7,0.7293844444444412,0.84,False
17269,simple_q090_a008,0.8125,0.056666666666666664,0.21875,0.14823008849557523,0.8517699115044248,0.78125,0.7819466666666633,0.9,False
17269,simple_q090_a016,0.8805970149253731,0.056666666666666664,0.23880597014925373,0.09652076318742986,0.9034792368125701,0.7611940298507462,0.7787833333333303,0.9,False
17269,tdc_evidence_validated,0.9166666666666666,0.06666666666666667,0.25,0.18874560375146543,0.8112543962485346,0.75,0.7011788888888866,0.903595729158408,True
17270,simple_q060_a000,0.6527777777777778,0.21,0.4861111111111111,0.3072562358276644,0.6927437641723355,0.5138888888888888,0.6110988888888855,0.6,False
17270,simple_q068_a000,0.6595744680851063,0.185,0.46808510638297873,0.28250591016548465,0.7174940898345153,0.5319148936170213,0.6198999999999969,0.68,False
17270,simple_q076_a000,0.7333333333333333,0.13333333333333333,0.36,0.21046511627906977,0.7895348837209302,0.64,0.6938888888888856,0.76,False
17270,simple_q084_a000,0.8,0.08333333333333333,0.34285714285714286,0.15807560137457044,0.8419243986254296,0.6571428571428571,0.7295655555555517,0.84,False
17270,simple_q076_a008,0.7567567567567568,0.10333333333333333,0.33783783783783783,0.21773288439955107,0.7822671156004489,0.6621621621621622,0.7073399999999963,0.76,False
17270,simple_q076_a016,0.8615384615384616,0.13666666666666666,0.24615384615384617,0.17852975495915985,0.8214702450408402,0.7538461538461538,0.6888155555555525,0.76,False
17270,simple_q084_a008,0.8181818181818182,0.08666666666666667,0.36363636363636365,0.1845444059976932,0.8154555940023068,0.6363636363636364,0.7343888888888854,0.84,False
17270,simple_q084_a016,0.7903225806451613,0.09333333333333334,0.3064516129032258,0.14614499424626007,0.85385500575374,0.6935483870967742,0.7031788888888865,0.84,False
17270,simple_q090_a008,0.8170731707317073,0.04666666666666667,0.35365853658536583,0.14585764294049008,0.8541423570595099,0.6463414634146342,0.7230799999999972,0.9,False
17270,simple_q090_a016,0.8356164383561644,0.051666666666666666,0.3561643835616438,0.11163337250293771,0.8883666274970623,0.6438356164383562,0.7355199999999973,0.9,False
17270,tdc_evidence_validated,0.8181818181818182,0.043333333333333335,0.23636363636363636,0.18830409356725147,0.8116959064327485,0.7636363636363637,0.7116388888888862,0.9041402987742304,True
17271,simple_q060_a000,0.578125,0.20166666666666666,0.46875,0.32171893147502906,0.6782810685249709,0.53125,0.6221222222222192,0.6,False
17271,simple_q068_a000,0.5873015873015873,0.17166666666666666,0.5555555555555556,0.26497695852534564,0.7350230414746544,0.4444444444444444,0.6389622222222182,0.68,False
17271,simple_q076_a000,0.7361111111111112,0.125,0.4583333333333333,0.2553191489361702,0.7446808510638299,0.5416666666666667,0.6891877777777741,0.76,False
17271,simple_q084_a000,0.7704918032786885,0.08333333333333333,0.3770491803278688,0.18,0.8200000000000001,0.6229508196721312,0.7261677777777747,0.84,False
17271,simple_q076_a008,0.7580645161290323,0.13333333333333333,0.3548387096774194,0.23870220162224798,0.761297798377752,0.6451612903225806,0.6981944444444412,0.76,False
17271,simple_q076_a016,0.7142857142857143,0.11333333333333333,0.37662337662337664,0.17928730512249444,0.8207126948775055,0.6233766233766234,0.6850255555555522,0.76,False
17271,simple_q084_a008,0.8648648648648649,0.09666666666666666,0.21621621621621623,0.16799091940976163,0.8320090805902384,0.7837837837837838,0.7408099999999967,0.84,False
17271,simple_q084_a016,0.8169014084507042,0.11333333333333333,0.352112676056338,0.14512471655328799,0.854875283446712,0.647887323943662,0.7208299999999971,0.84,False
17271,simple_q090_a008,0.7916666666666666,0.085,0.375,0.1352601156069364,0.8647398843930636,0.625,0.7454633333333299,0.9,False
17271,simple_q090_a016,0.7966101694915254,0.06166666666666667,0.3220338983050847,0.1141602634467618,0.8858397365532382,0.6779661016949152,0.734755555555553,0.9,False
17271,tdc_evidence_validated,0.7746478873239436,0.05,0.36619718309859156,0.18295454545454545,0.8170454545454545,0.6338028169014085,0.7355555555555524,0.9058869697311911,True
17272,simple_q060_a000,0.6290322580645161,0.21,0.4838709677419355,0.33601841196777904,0.663981588032221,0.5161290322580645,0.563035555555554,0.6,False
17272,simple_q068_a000,0.7014925373134329,0.19666666666666666,0.34328358208955223,0.2665121668597914,0.7334878331402086,0.6567164179104478,0.6743566666666629,0.68,False
17272,simple_q076_a000,0.7702702702702703,0.15166666666666667,0.43243243243243246,0.23543123543123542,0.7645687645687645,0.5675675675675675,0.6684899999999965,0.76,False
17272,simple_q084_a000,0.7884615384615384,0.09333333333333334,0.34615384615384615,0.17406143344709898,0.825938566552901,0.6538461538461539,0.7447288888888858,0.84,False
17272,simple_q076_a008,0.7435897435897436,0.14333333333333334,0.44871794871794873,0.2255892255892256,0.7744107744107744,0.5512820512820513,0.7069711111111074,0.76,False
17272,simple_q076_a016,0.703125,0.1,0.390625,0.2068206820682068,0.7931793179317932,0.609375,0.6869177777777747,0.76,False
17272,simple_q084_a008,0.7575757575757576,0.12333333333333334,0.36363636363636365,0.17440543601359004,0.82559456398641,0.6363636363636364,0.7258144444444414,0.84,False
17272,simple_q084_a016,0.7164179104477612,0.11166666666666666,0.47761194029850745,0.12988505747126436,0.8701149425287357,0.5223880597014925,0.6879855555555525,0.84,False
17272,simple_q090_a008,0.8285714285714286,0.06666666666666667,0.2857142857142857,0.14058956916099774,0.8594104308390023,0.7142857142857143,0.7546833333333299,0.9,False
17272,simple_q090_a016,0.8833333333333333,0.045,0.25,0.10070257611241218,0.8992974238875878,0.75,0.7792677777777751,0.9,False
17272,tdc_evidence_validated,0.8461538461538461,0.07,0.3230769230769231,0.19217491369390102,0.807825086306099,0.676923076923077,0.7139933333333301,0.903518146865865,True
17273,simple_q060_a000,0.6376811594202898,0.17666666666666667,0.43478260869565216,0.3263041065482797,0.6736958934517203,0.5652173913043479,0.6113299999999967,0.6,False
17273,simple_q068_a000,0.6984126984126984,0.135,0.3333333333333333,0.2733333333333333,0.7266666666666667,0.6666666666666667,0.6526511111111085,0.68,False
17273,simple_q076_a000,0.7142857142857143,0.13833333333333334,0.4,0.25312145289443816,0.7468785471055619,0.6,0.6681499999999968,0.76,False
17273,simple_q084_a000,0.8524590163934426,0.08833333333333333,0.3114754098360656,0.17265353418308227,0.8273464658169177,0.6885245901639344,0.7410377777777745,0.84,False
17273,simple_q076_a008,0.7971014492753623,0.125,0.34782608695652173,0.2375296912114014,0.7624703087885986,0.6521739130434783,0.6718188888888851,0.76,False
17273,simple_q076_a016,0.7945205479452054,0.12,0.3972602739726027,0.16819221967963388,0.8318077803203661,0.6027397260273972,0.6930477777777742,0.76,False
17273,simple_q084_a008,0.875,0.09166666666666666,0.3125,0.16168327796234774,0.8383167220376523,0.6875,0.7210255555555527,0.84,False
17273,simple_q084_a016,0.8461538461538461,0.105,0.26153846153846155,0.1518987341772152,0.8481012658227848,0.7384615384615385,0.7241133333333305,0.84,False
17273,simple_q090_a008,0.8428571428571429,0.07,0.2571428571428571,0.1436651583710407,0.8563348416289593,0.7428571428571429,0.6998077777777747,0.9,False
17273,simple_q090_a016,0.8076923076923077,0.04833333333333333,0.3333333333333333,0.10621468926553672,0.8937853107344633,0.6666666666666667,0.7582722222222193,0.9,False
17273,tdc_evidence_validated,0.8666666666666667,0.04,0.28888888888888886,0.1895734597156398,0.8104265402843602,0.7111111111111111,0.6862922222222197,0.9055861054672243,True
17274,simple_q060_a000,0.6567164179104478,0.205,0.43283582089552236,0.3533487297921478,0.6466512702078522,0.5671641791044777,0.6070488888888853,0.6,False
17274,simple_q068_a000,0.6621621621621622,0.17333333333333334,0.5135135135135135,0.27941176470588236,0.7205882352941176,0.4864864864864865,0.6433866666666633,0.68,False
