seed,model,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_Q,mean_Q
18644,tdc_full,0.8571428571428571,0.375,0.18376449598572703,0.6938583333333302,0.9061709297389955,0.8302246740497954
18644,simple_success_learner,0.6875,0.49107142857142855,0.3487957181088314,0.5795208333333279,0.5961187242580478,0.6186207847598122
18644,simple_calibrated_learner,0.8035714285714286,0.41964285714285715,0.19536128456735058,0.6871924999999969,0.8517628741052301,0.8308125308932124
18644,simple_two_signal_learner,0.8660714285714286,0.36607142857142855,0.17216770740410348,0.7167274999999975,0.9092158046802059,0.8798871139647415
18645,tdc_full,0.81,0.4,0.2146643109540636,0.6891074999999963,0.9046134483544795,0.8190573570098418
18645,simple_success_learner,0.65,0.5,0.36484098939929327,0.5904349999999946,0.5991912306339878,0.6119494354099666
18645,simple_calibrated_learner,0.79,0.42,0.23498233215547704,0.6813191666666631,0.817787926933016,0.8031331240070035
18645,simple_two_signal_learner,0.81,0.4,0.2040636042402827,0.7059016666666633,0.8598753864960346,0.8590135284817325
18646,tdc_full,0.7916666666666666,0.34375,0.17253218884120172,0.6756933333333296,0.9054427692456699,0.8385940320272295
18646,simple_success_learner,0.6145833333333334,0.5104166666666666,0.3562231759656652,0.5509583333333287,0.5587094411057381,0.6162832052874866
18646,simple_calibrated_learner,0.7604166666666666,0.375,0.2145922746781116,0.660231666666662,0.845365990645338,0.7986059931096066
18646,simple_two_signal_learner,0.7708333333333334,0.3645833333333333,0.17339055793991417,0.686599166666663,0.9058464792053595,0.8644087056636528
18647,tdc_full,0.82,0.36,0.17847533632286997,0.6582783333333295,0.9048302899569701,0.8320530700950315
18647,simple_success_learner,0.67,0.45,0.33183856502242154,0.5561491666666617,0.5424610571620428,0.608096993223692
18647,simple_calibrated_learner,0.81,0.36,0.18475336322869956,0.6583666666666627,0.8260176819174812,0.8148383853104519
18647,simple_two_signal_learner,0.83,0.35,0.15964125560538117,0.6946566666666634,0.8926412991754257,0.873160233468075
18648,tdc_full,0.8504672897196262,0.38317757009345793,0.18478260869565216,0.6650433333333293,0.9039250180254611,0.8319748097739964
