seed,model,ethical_detection_accuracy,transformation_decision_accuracy,false_consolidation_rate,anti_core_capture_rate,overall_component_score
13239,ablate_idealgap,0.8516666666666667,0.5988888888888889,0.06722222222222222,0.06944444444444445,0.8245277777777779
13239,ablate_shadow_validation,0.83,0.86,0.385,0.07722222222222222,0.8023055555555556
13239,ablate_core_constraint,0.8383333333333334,0.8622222222222222,0.07111111111111111,0.34055555555555556,0.8311666666666667
13240,full_loop,0.8455555555555555,0.8605555555555555,0.07388888888888889,0.07944444444444444,0.8844444444444444
13240,ablate_ethicalsense,0.5722222222222222,0.8444444444444444,0.0661111111111111,0.07555555555555556,0.8011388888888888
13240,ablate_idealgap,0.8438888888888889,0.6011111111111112,0.07222222222222222,0.0811111111111111,0.8191666666666667
13240,ablate_shadow_validation,0.8505555555555555,0.8511111111111112,0.38166666666666665,0.08,0.8065277777777778
13240,ablate_core_constraint,0.8377777777777777,0.86,0.07055555555555555,0.3333333333333333,0.8320277777777778
13241,full_loop,0.8472222222222222,0.87,0.06833333333333333,0.07111111111111111,0.8903611111111112
13241,ablate_ethicalsense,0.5855555555555556,0.8477777777777777,0.06222222222222222,0.0811111111111111,0.8058333333333334
13241,ablate_idealgap,0.8411111111111111,0.5977777777777777,0.06666666666666667,0.07777777777777778,0.8195555555555556
13241,ablate_shadow_validation,0.8422222222222222,0.865,0.35833333333333334,0.08777777777777777,0.8117777777777777
13241,ablate_core_constraint,0.8427777777777777,0.8527777777777777,0.07333333333333333,0.345,0.8286944444444444
13242,full_loop,0.8383333333333334,0.865,0.06666666666666667,0.07444444444444444,0.8861944444444444
13242,ablate_ethicalsense,0.5688888888888889,0.8516666666666667,0.07333333333333333,0.07777777777777778,0.7996944444444445
13242,ablate_idealgap,0.8522222222222222,0.6033333333333334,0.07666666666666666,0.06666666666666667,0.824
13242,ablate_shadow_validation,0.8222222222222222,0.8561111111111112,0.39,0.07388888888888889,0.7984166666666666
13242,ablate_core_constraint,0.8483333333333334,0.8438888888888889,0.06833333333333333,0.33611111111111114,0.8311666666666667
13243,full_loop,0.845,0.8688888888888889,0.06666666666666667,0.075,0.8890555555555557
13243,ablate_ethicalsense,0.58,0.8661111111111112,0.06055555555555556,0.08611111111111111,0.8081666666666667
13243,ablate_idealgap,0.8366666666666667,0.6088888888888889,0.07777777777777778,0.08166666666666667,0.8174444444444444
13243,ablate_shadow_validation,0.8627777777777778,0.8622222222222222,0.38555555555555554,0.07277777777777777,0.8134444444444444
13243,ablate_core_constraint,0.8311111111111111,0.8638888888888889,0.07055555555555555,0.34,0.8296666666666667
13244,full_loop,0.8438888888888889,0.855,0.07277777777777777,0.07555555555555556,0.8836111111111111
13244,ablate_ethicalsense,0.5727777777777778,0.8555555555555555,0.07055555555555555,0.07333333333333333,0.8034166666666667
13244,ablate_idealgap,0.8555555555555555,0.62,0.07,0.07166666666666667,0.8298333333333332
13244,ablate_shadow_validation,0.8488888888888889,0.8694444444444445,0.38555555555555554,0.07166666666666667,0.8113055555555555
13244,ablate_core_constraint,0.8316666666666667,0.8766666666666667,0.06777777777777778,0.3383333333333333,0.8340555555555556
13245,full_loop,0.845,0.8427777777777777,0.06888888888888889,0.07611111111111112,0.88175
13245,ablate_ethicalsense,0.5955555555555555,0.8611111111111112,0.0661111111111111,0.07833333333333334,0.81175
13245,ablate_idealgap,0.8422222222222222,0.6066666666666667,0.06666666666666667,0.08166666666666667,0.8213333333333332
13245,ablate_shadow_validation,0.8394444444444444,0.87,0.37777777777777777,0.07833333333333334,0.8092222222222222
13245,ablate_core_constraint,0.8566666666666667,0.8672222222222222,0.056666666666666664,0.3466666666666667,0.8403055555555556
13246,full_loop,0.8327777777777777,0.865,0.07111111111111111,0.0811111111111111,0.8820833333333333
13246,ablate_ethicalsense,0.5727777777777778,0.8427777777777777,0.07111111111111111,0.075,0.7997500000000001
13246,ablate_idealgap,0.8338888888888889,0.5927777777777777,0.06666666666666667,0.07888888888888888,0.8159166666666666
13246,ablate_shadow_validation,0.8477777777777777,0.8627777777777778,0.36833333333333335,0.07888888888888888,0.8121666666666667
13246,ablate_core_constraint,0.8261111111111111,0.8622222222222222,0.06944444444444445,0.32055555555555554,0.8319166666666666
13247,full_loop,0.8444444444444444,0.8672222222222222,0.07,0.07611111111111112,0.8874166666666666
13247,ablate_ethicalsense,0.5694444444444444,0.8561111111111112,0.056666666666666664,0.07,0.8066944444444444
13247,ablate_idealgap,0.8322222222222222,0.6144444444444445,0.06944444444444445,0.06666666666666667,0.8225833333333333
13247,ablate_shadow_validation,0.8233333333333334,0.8516666666666667,0.39055555555555554,0.09166666666666666,0.7939444444444443
