seed,model,irreversible_core_violation_rate,false_alarm_rate,review_trigger_rate,unnecessary_abstention_rate,review_steps_per_episode,decision_accuracy,long_term_trajectory_value,net_vigilance_value,integrated_score
14422,balanced_review,0.15279048490393413,0.12,0.2105,0.0013333333333333333,0.9215,0.871995994659546,0.6187205416666735,0.3839475998780115,0.8706718844635475
14422,hypersensitive_review,0.1022944550669216,0.2966666666666667,0.42733333333333334,0.0045,1.919,0.9321948769462581,0.7166901250000117,0.12483886551943912,0.8730532753588147
14423,no_emergency,0.14939309056956115,0.0,0.0,0.0,0.0,0.7618333333333334,0.43833333333333346,0.6713352007469655,0.8490767273576098
14423,conservative_review,0.1403678606001936,0.07866666666666666,0.1625,0.0011666666666666668,0.7331666666666666,0.8323043550809277,0.5641765833333363,0.4919107066795741,0.8660625851242301
14423,balanced_review,0.1349056603773585,0.1255,0.21883333333333332,0.0025,0.9696666666666667,0.8763575605680869,0.6390294166666727,0.40864754716981144,0.8767580593260869
14423,hypersensitive_review,0.09674418604651162,0.30783333333333335,0.43916666666666665,0.005166666666666667,1.9561666666666666,0.9286312615178421,0.7086935000000139,0.11628945736434107,0.8704720111103925
14424,no_emergency,0.14337240757439135,0.0,0.0,0.0,0.0,0.7718333333333334,0.45886666666666726,0.684580703336339,0.8551218981064023
14424,conservative_review,0.13828786453433678,0.08283333333333333,0.1705,0.002,0.7531666666666667,0.8316633266533067,0.5611003333333373,0.4874200313577923,0.8652428901957414
14424,balanced_review,0.16054158607350097,0.11733333333333333,0.20766666666666667,0.0015,0.903,0.8744783842430313,0.6268994166666728,0.37268184397163123,0.870608908337868
14424,hypersensitive_review,0.108675799086758,0.297,0.43066666666666664,0.004333333333333333,1.8931666666666667,0.9226648811516572,0.6927617916666792,0.11359990867579917,0.8667543156154753
14425,no_emergency,0.1536926147704591,0.0,0.0,0.0,0.0,0.7606666666666667,0.4392,0.66187624750499,0.8477168463073852
14425,conservative_review,0.1461187214611872,0.07466666666666667,0.161,0.0011666666666666668,0.7101666666666666,0.8304688803604204,0.5540357083333357,0.4876188127853882,0.8641136618678295
14425,balanced_review,0.16429840142095914,0.118,0.21783333333333332,0.0016666666666666668,0.9608333333333333,0.8684474123539232,0.6031100000000057,0.3563768502072232,0.8659262066842709
14425,hypersensitive_review,0.1045045045045045,0.304,0.4365,0.0036666666666666666,1.9466666666666668,0.9215456674473068,0.6912593750000121,0.10722342342342348,0.8660153605664002
14426,no_emergency,0.15953307392996108,0.0,0.0,0.0,0.0,0.7593333333333333,0.4312,0.6490272373540855,0.8452567315175097
14426,conservative_review,0.1537761601455869,0.0735,0.16233333333333333,0.0008333333333333334,0.7051666666666667,0.8321934945788156,0.5539582083333361,0.47333911434637543,0.8629775406289149
14426,balanced_review,0.16856060606060605,0.11816666666666667,0.20916666666666667,0.0021666666666666666,0.9138333333333334,0.869717721730416,0.6084160833333395,0.3519066666666667,0.8655563712539737
14426,hypersensitive_review,0.08652094717668488,0.3015,0.436,0.005,1.9021666666666666,0.9274706867671692,0.71287254166668,0.15429391621129326,0.8742764098609805
14427,no_emergency,0.1515426497277677,0.0,0.0,0.0,0.0,0.7603333333333333,0.4316000000000008,0.666606170598911,0.8475843375680581
14427,conservative_review,0.14555256064690028,0.07633333333333334,0.16033333333333333,0.0015,0.6878333333333333,0.8307461191787682,0.5507680833333364,0.4888776999101527,0.863726635175239
14427,balanced_review,0.13430127041742287,0.1185,0.2145,0.0018333333333333333,0.9473333333333334,0.8734346301552847,0.6340536666666733,0.4231238717483363,0.8771257631088968
14427,hypersensitive_review,0.09372156505914468,0.30783333333333335,0.4405,0.004166666666666667,1.942,0.9246861924686193,0.7009082916666792,0.1256392235365484,0.8695602550174673
14428,no_emergency,0.14431082331174838,0.0,0.0,0.0,0.0,0.7605,0.4378000000000002,0.6825161887141535,0.8499072941720629
14428,conservative_review,0.15294117647058825,0.08166666666666667,0.17166666666666666,0.001,0.752,0.8289956623289957,0.543521833333337,0.45795607843137254,0.8597942087477185
14428,balanced_review,0.14795008912655971,0.12116666666666667,0.2195,0.0011666666666666668,0.9471666666666667,0.871349908226264,0.6177258750000062,0.39004980392156874,0.8713968908112397
14428,hypersensitive_review,0.10377358490566038,0.30733333333333335,0.43466666666666665,0.003833333333333333,1.8816666666666666,0.9282248619708884,0.7059289583333445,0.1117981132075471,0.8686187342398521
14429,no_emergency,0.12421242124212421,0.0,0.0,0.0,0.0,0.7685,0.46340000000000053,0.7267326732673267,0.859251894689469
14429,conservative_review,0.15879396984924624,0.084,0.16116666666666668,0.001,0.7058333333333333,0.8415081748415082,0.5739137500000044,0.4473532663316582,0.8638974912401413
14429,balanced_review,0.13375224416517056,0.125,0.22666666666666666,0.0015,0.9955,0.8746453012852612,0.6338721250000072,0.40978506283662486,0.8763459387192862
14429,hypersensitive_review,0.09541627689429373,0.2995,0.43083333333333335,0.005,1.9085,0.9254606365159129,0.7068969583333464,0.1367641908325538,0.8714013936062015
14430,no_emergency,0.14476190476190476,0.0,0.0,0.0,0.0,0.7661666666666667,0.4512666666666672,0.6815238095238095,0.8525045238095238
14430,conservative_review,0.15319548872180452,0.07983333333333334,0.16033333333333333,0.0011666666666666668,0.706,0.8349741364925747,0.559869250000004,0.46531659147869664,0.8631002291839882
14430,balanced_review,0.16143911439114392,0.12016666666666667,0.212,0.0011666666666666668,0.945,0.8725179375938595,0.6178322916666731,0.3620339483394834,0.8685830245553723
