seed,condition,A_TF,I,C_T,R_C,H_self,joint_maturity_product,joint_interaction,target_reliability,ethical_sensitivity,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,deep_path_activation_rate
11131,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8028571428571428,0.815112540192926,0.6036071428571526,0.8723186925434117,0.6992857142857143
11131,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8121428571428572,0.8359788359788359,0.6423928571428681,0.8760890609874153,0.7378571428571429
11131,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8378571428571429,0.8441358024691358,0.6522857142857268,0.8719723183391004,0.8257142857142857
11131,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7142857142857143,0.7069486404833837,0.3985714285714281,0.7305555555555555,0.7714285714285715
11132,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.865,0.8717532467532467,0.7143571428571568,0.9347826086956522,0.7557142857142857
11132,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7242857142857143,0.7073170731707317,0.43342857142857255,0.7923728813559322,0.6742857142857143
11132,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7678571428571429,0.7806748466257669,0.5266071428571488,0.81256038647343,0.7392857142857143
11132,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8014285714285714,0.7984,0.5872142857142948,0.8820459290187892,0.6842857142857143
11132,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7864285714285715,0.7873376623376623,0.5627857142857224,0.860078277886497,0.73
11132,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8478571428571429,0.8600953895071543,0.680321428571442,0.8864218616567037,0.8364285714285714
11132,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.735,0.7308347529812607,0.47007142857143197,0.7395264116575592,0.7842857142857143
11133,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8721428571428571,0.8790849673202614,0.7292142857142996,0.9376199616122841,0.7442857142857143
11133,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.735,0.7421383647798742,0.4667142857142887,0.7804621848739496,0.68
11133,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7471428571428571,0.7440381558028617,0.4788571428571465,0.7863805970149254,0.7657142857142857
11133,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8035714285714286,0.8232484076433121,0.609678571428581,0.8725985844287159,0.7064285714285714
11133,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7935714285714286,0.8102893890675241,0.5887500000000091,0.8620689655172413,0.725
11133,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8307142857142857,0.8285714285714286,0.6345714285714414,0.8686006825938567,0.8371428571428572
11133,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.6971428571428572,0.6864686468646864,0.3871785714285683,0.7164040778498609,0.7707142857142857
11134,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8557142857142858,0.8573770491803279,0.6934285714285839,0.931390977443609,0.76
11134,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7271428571428571,0.743801652892562,0.471785714285718,0.7926315789473685,0.6785714285714286
11134,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7464285714285714,0.7515337423312883,0.47785714285714626,0.8048076923076923,0.7428571428571429
11134,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7964285714285714,0.7781201848998459,0.5553214285714353,0.8668012108980827,0.7078571428571429
11134,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.795,0.7846385542168675,0.5543928571428651,0.8662733529990168,0.7264285714285714
11134,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8335714285714285,0.8207547169811321,0.6298571428571536,0.8671328671328671,0.8171428571428572
11134,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7171428571428572,0.7390599675850892,0.4476785714285724,0.7375565610859729,0.7892857142857143
11135,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8307142857142857,0.8325123152709359,0.6481785714285827,0.9214354995150339,0.7364285714285714
11135,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7428571428571429,0.7389312977099237,0.46642857142857336,0.7966666666666666,0.6428571428571429
11135,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7564285714285715,0.7393364928909952,0.48339285714286023,0.7885167464114833,0.7464285714285714
11135,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8085714285714286,0.8053375196232339,0.5954642857142948,0.8798411122144985,0.7192857142857143
11135,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7857142857142857,0.7649842271293376,0.5372500000000069,0.8535606820461384,0.7121428571428572
11135,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8314285714285714,0.8279932546374368,0.6443928571428698,0.874675885911841,0.8264285714285714
11135,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7357142857142858,0.7345971563981043,0.4577500000000014,0.7544684854186265,0.7592857142857142
11136,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8628571428571429,0.8536209553158706,0.6890000000000129,0.9325842696629213,0.7628571428571429
11136,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7221428571428572,0.7229299363057324,0.439571428571428,0.7878151260504201,0.68
11136,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7392857142857143,0.7284345047923323,0.4582857142857147,0.7808988764044944,0.7628571428571429
11136,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7878571428571428,0.8,0.5738571428571503,0.8508064516129032,0.7085714285714285
11136,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8028571428571428,0.7963246554364471,0.5768214285714347,0.865213082259663,0.7207142857142858
11136,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8328571428571429,0.8426073131955485,0.6495357142857272,0.8678601875532822,0.8378571428571429
11136,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7135714285714285,0.7447495961227787,0.4490357142857155,0.7424103035878565,0.7764285714285715
11137,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8742857142857143,0.8729641693811075,0.7248571428571565,0.9398496240601504,0.76
11137,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7492857142857143,0.7727975270479135,0.5050714285714334,0.7849686847599165,0.6842857142857143
11137,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7685714285714286,0.7570977917981072,0.5095000000000063,0.8053016453382084,0.7814285714285715
11137,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8014285714285714,0.8009478672985783,0.5856071428571515,0.8763708873379861,0.7164285714285714
11137,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8057142857142857,0.810477657935285,0.59410714285715,0.8616915422885573,0.7178571428571429
11137,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8378571428571429,0.8390092879256966,0.6474642857142997,0.8599487617421008,0.8364285714285714
11137,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7071428571428572,0.7054009819967266,0.41117857142856995,0.7286108555657773,0.7764285714285715
11138,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8728571428571429,0.8823529411764706,0.7287142857143013,0.9349442379182156,0.7685714285714286
11138,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7457142857142857,0.7536231884057971,0.49321428571428927,0.8,0.6785714285714286
11138,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7585714285714286,0.7686084142394822,0.5164642857142921,0.7837582625118036,0.7564285714285715
11138,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7907142857142857,0.7986906710310966,0.5795000000000093,0.8621730382293763,0.71
11138,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7985714285714286,0.8055987558320373,0.5832857142857221,0.8589494163424124,0.7342857142857143
11138,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8257142857142857,0.8298555377207063,0.6333214285714397,0.8700959023539668,0.8192857142857143
11138,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.6978571428571428,0.680577849117175,0.3753571428571377,0.7158878504672898,0.7642857142857142
11139,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8521428571428571,0.8588588588588588,0.6790714285714419,0.930939226519337,0.7757142857142857
11139,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.715,0.7030015797788309,0.41199999999999914,0.774896265560166,0.6885714285714286
11139,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7678571428571429,0.7765089722675367,0.5353214285714345,0.8069835111542192,0.7364285714285714
11139,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7871428571428571,0.7901990811638591,0.5556428571428645,0.8572854291417166,0.7157142857142857
11139,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7814285714285715,0.7830342577487766,0.5550357142857208,0.8439646712463199,0.7278571428571429
11139,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.845,0.8309178743961353,0.6537857142857277,0.8734835355285961,0.8242857142857143
11139,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7328571428571429,0.7152317880794702,0.44878571428571523,0.75512104283054,0.7671428571428571
11140,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8635714285714285,0.8684627575277337,0.7072500000000148,0.9375591296121097,0.755
11140,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7521428571428571,0.740432612312812,0.49496428571429096,0.7918834547346514,0.6864285714285714
11140,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.77,0.7488151658767772,0.5048928571428629,0.8118532455315146,0.7592857142857142
11140,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7921428571428571,0.7922480620155039,0.5651071428571507,0.8665997993981945,0.7121428571428572
11140,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7942857142857143,0.7941680960548885,0.5868928571428657,0.8669314796425025,0.7192857142857143
11140,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8314285714285714,0.8386075949367089,0.644214285714299,0.8691910499139415,0.83
11140,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7257142857142858,0.7060755336617406,0.43110714285714086,0.7493112947658402,0.7778571428571428
11141,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.86,0.8357988165680473,0.6641071428571549,0.9301435406698565,0.7464285714285714
11141,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7478571428571429,0.7751937984496124,0.5064285714285753,0.7927083333333333,0.6857142857142857
11141,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7521428571428571,0.7439393939393939,0.4731071428571473,0.7844254510921178,0.7521428571428571
11141,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8207142857142857,0.8288854003139717,0.6288214285714392,0.8874629812438302,0.7235714285714285
11141,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8057142857142857,0.8118022328548644,0.6006428571428665,0.8659491193737769,0.73
11141,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8471428571428572,0.8488745980707395,0.6707500000000131,0.8837998303647159,0.8421428571428572
11141,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7257142857142858,0.7121464226289518,0.4411785714285723,0.7545367717287488,0.7478571428571429
11142,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8457142857142858,0.8540706605222734,0.6728928571428701,0.9239653512993262,0.7421428571428571
11142,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.735,0.7391304347826086,0.46967857142857383,0.7966280295047419,0.6778571428571428
11142,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7721428571428571,0.7827476038338658,0.540571428571437,0.8160919540229885,0.7457142857142857
11142,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7942857142857143,0.790625,0.5674642857142931,0.8647830474268415,0.7078571428571429
11142,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.805,0.7964071856287425,0.575142857142866,0.8775100401606426,0.7114285714285714
11142,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.835,0.86084142394822,0.6712500000000121,0.8768558951965065,0.8178571428571428
11142,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7021428571428572,0.7016393442622951,0.4037857142857128,0.7337057728119181,0.7671428571428571
11143,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8464285714285714,0.8278688524590164,0.6586071428571544,0.9178470254957507,0.7564285714285715
11143,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7214285714285714,0.7238421955403087,0.45839285714285855,0.7632432432432432,0.6607142857142857
11143,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7664285714285715,0.7706422018348624,0.5136785714285761,0.7901578458681523,0.7692857142857142
11143,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7985714285714286,0.795751633986928,0.5848214285714382,0.8619289340101522,0.7035714285714286
11143,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7921428571428571,0.7909516380655226,0.5643928571428651,0.855457227138643,0.7264285714285714
11143,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8414285714285714,0.8405572755417957,0.652928571428585,0.8773747841105354,0.8271428571428572
11143,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7071428571428572,0.7101910828025477,0.4095357142857114,0.7217473884140551,0.7521428571428571
11144,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8685714285714285,0.8628659476117103,0.7037500000000128,0.9450236966824644,0.7535714285714286
11144,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7207142857142858,0.7098283931357254,0.42010714285714307,0.77482088024565,0.6978571428571428
11144,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7557142857142857,0.756578947368421,0.5061071428571478,0.7998129092609916,0.7635714285714286
11144,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8057142857142857,0.8030534351145038,0.5860000000000086,0.8780241935483871,0.7085714285714285
11144,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7771428571428571,0.778675282714055,0.5453214285714348,0.8407517309594461,0.7221428571428572
11144,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8335714285714285,0.848,0.6567142857142995,0.8671875,0.8228571428571428
11144,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7014285714285714,0.71900826446281,0.4205357142857145,0.723943661971831,0.7607142857142857
11145,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8564285714285714,0.8474842767295597,0.6795357142857273,0.9273066169617894,0.7664285714285715
11145,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7342857142857143,0.7160686427457098,0.4403928571428574,0.7913593256059009,0.6778571428571428
11145,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7671428571428571,0.7681159420289855,0.5238928571428624,0.813510941960038,0.7507142857142857
11145,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7778571428571428,0.7929883138564274,0.5665714285714367,0.8493723849372385,0.6828571428571428
11145,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.805,0.8031746031746032,0.5924642857142955,0.8799192734611504,0.7078571428571429
11145,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8435714285714285,0.8467614533965245,0.6626428571428712,0.8743676222596964,0.8471428571428572
11145,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7121428571428572,0.7025316455696202,0.40574999999999756,0.7271010387157696,0.7564285714285715
11146,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.87,0.8656957928802589,0.7133214285714428,0.9372071227741331,0.7621428571428571
11146,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.745,0.7417763157894737,0.48810714285714557,0.7929901423877328,0.6521428571428571
11146,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7564285714285715,0.7445482866043613,0.48442857142857826,0.8020833333333334,0.7542857142857143
11146,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7992857142857143,0.8204283360790774,0.6077142857142961,0.8545816733067729,0.7171428571428572
11146,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.795,0.8073959938366718,0.5798571428571514,0.86328125,0.7314285714285714
11146,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8314285714285714,0.8325508607198748,0.6373928571428702,0.8673026886383348,0.8235714285714286
11146,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7307142857142858,0.7351598173515982,0.44471428571428595,0.7633587786259542,0.7485714285714286
11147,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.88,0.8825448613376835,0.7388571428571575,0.9468283582089553,0.7657142857142857
11147,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7428571428571429,0.7590551181102362,0.49010714285714585,0.7878787878787878,0.6835714285714286
11147,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7592857142857142,0.766721044045677,0.5179285714285767,0.8053949903660886,0.7414285714285714
11147,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7964285714285714,0.8168789808917197,0.5963928571428658,0.8671328671328671,0.715
11147,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8078571428571428,0.8247588424437299,0.6163571428571527,0.8652694610778443,0.7157142857142857
11147,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8478571428571429,0.8418674698795181,0.6568214285714409,0.8885987815491732,0.8207142857142857
11147,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7157142857142857,0.7166921898928025,0.41275000000000106,0.7479224376731302,0.7735714285714286
11148,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8721428571428571,0.8629441624365483,0.7186785714285849,0.9441816461684012,0.755
11148,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7314285714285714,0.7413793103448276,0.4620357142857165,0.7847295864262991,0.6735714285714286
11148,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.765,0.7686084142394822,0.5227142857142925,0.7960526315789473,0.76
11148,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7857142857142857,0.7705977382875606,0.5466785714285776,0.8450148075024679,0.7235714285714285
11148,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7814285714285715,0.7880690737833596,0.5520357142857213,0.8396871945259042,0.7307142857142858
11148,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8157142857142857,0.8068376068376069,0.6136785714285837,0.8619173262972736,0.8121428571428572
11148,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7107142857142857,0.6986089644513137,0.3933214285714248,0.7240110395584176,0.7764285714285715
11149,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.865,0.8470031545741324,0.6891071428571557,0.9320574162679426,0.7464285714285714
11149,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7314285714285714,0.7198697068403909,0.45292857142857396,0.7799564270152506,0.6557142857142857
11149,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7521428571428571,0.75,0.49475000000000524,0.8003820439350525,0.7478571428571429
11149,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.81,0.8262910798122066,0.6155357142857264,0.8855721393034826,0.7178571428571429
11149,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8,0.8140293637846656,0.6014642857142943,0.8618618618618619,0.7135714285714285
