seed,condition,A_TF,I,C_T,R_C,H_self,joint_maturity_product,joint_interaction,target_reliability,ethical_sensitivity,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,deep_path_activation_rate
11212,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7278571428571429,0.7256371814092953,0.42874999999999985,0.7573459715639811,0.7535714285714286
11213,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8707142857142857,0.8794435857805255,0.7208571428571567,0.9302973977695167,0.7685714285714286
11213,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.715,0.7092084006462036,0.42460714285714174,0.7722878625134264,0.665
11213,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7671428571428571,0.7598736176935229,0.5126071428571483,0.8147086914995224,0.7478571428571429
11213,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.795,0.7826771653543307,0.5618571428571507,0.8601190476190477,0.72
11213,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8057142857142857,0.8166409861325116,0.5999285714285822,0.8692614770459082,0.7157142857142857
11213,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8321428571428572,0.8322683706070287,0.6398928571428693,0.863905325443787,0.845
11213,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7285714285714285,0.7435114503816794,0.44960714285714437,0.7525206232813932,0.7792857142857142
11214,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8485714285714285,0.831230283911672,0.6580357142857267,0.9175355450236967,0.7535714285714286
11214,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7371428571428571,0.7433903576982893,0.4687500000000026,0.7978142076502732,0.6535714285714286
11214,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.75,0.724031007751938,0.4570357142857163,0.7802400738688827,0.7735714285714286
11214,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8092857142857143,0.8158730158730159,0.6074642857142967,0.8704253214638972,0.7221428571428572
11214,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8092857142857143,0.8214849921011058,0.6112857142857246,0.8701171875,0.7314285714285714
11214,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.83,0.8333333333333334,0.6348928571428706,0.8696412948381452,0.8164285714285714
11214,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7221428571428572,0.721958925750395,0.43171428571428505,0.7582417582417582,0.78
11215,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8607142857142858,0.8557692307692307,0.6949285714285847,0.9280230326295585,0.7442857142857143
11215,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7428571428571429,0.7421487603305785,0.4863928571428604,0.8023379383634431,0.6721428571428572
11215,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7728571428571429,0.7895569620253164,0.5455000000000073,0.8126195028680688,0.7471428571428571
11215,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8028571428571428,0.8057324840764332,0.5939642857142939,0.8740970072239422,0.6921428571428572
11215,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7978571428571428,0.7774244833068362,0.5619642857142927,0.8656716417910447,0.7178571428571429
11215,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8292857142857143,0.8306962025316456,0.6349285714285822,0.8734939759036144,0.83
11215,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7264285714285714,0.72,0.4269642857142872,0.7402714932126697,0.7892857142857143
11216,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8635714285714285,0.8547655068078669,0.6892500000000129,0.9452449567723343,0.7435714285714285
11216,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7385714285714285,0.7391304347826086,0.4640714285714313,0.7888198757763976,0.69
11216,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7621428571428571,0.7507739938080495,0.4945000000000032,0.8007590132827325,0.7528571428571429
11216,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.805,0.8204724409448819,0.6075357142857238,0.8699690402476781,0.6921428571428572
11216,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7864285714285715,0.7735849056603774,0.5457142857142938,0.8591836734693877,0.7
11216,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8235714285714286,0.8128930817610063,0.6127500000000115,0.863517060367454,0.8164285714285714
11216,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7171428571428572,0.7043618739903069,0.4169999999999982,0.735239852398524,0.7742857142857142
11217,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8507142857142858,0.8311897106109325,0.6639642857142976,0.9378036929057337,0.735
11217,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.725,0.759170653907496,0.4755714285714308,0.7828389830508474,0.6742857142857143
11217,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7607142857142857,0.7558320373250389,0.49921428571429133,0.800383877159309,0.7442857142857143
