seed,model,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,anticapture_activation_rate,final_Q,composite
19246,PTVM,0.9552238805970149,0.20149253731343283,0.1457000710732054,0.7138191999999987,0.0,0.94,0.8498178556361049
19246,FULL,0.9253731343283582,0.22388059701492538,0.09523809523809523,0.7014975999999986,0.5236,0.94,0.8167136919971567
19246,PTVM_conditional_A,0.9552238805970149,0.20149253731343283,0.1457000710732054,0.7138191999999987,0.3658,0.94,0.8315278556361049
19247,PTVM,0.9491525423728814,0.2288135593220339,0.13101983002832862,0.7155367999999989,0.0,0.94,0.8444457668756901
19247,FULL,0.8898305084745762,0.2627118644067797,0.08994334277620397,0.6975567999999986,0.5208,0.94,0.7967538778854368
19247,PTVM_conditional_A,0.9491525423728814,0.2288135593220339,0.13101983002832862,0.7155367999999989,0.3628,0.94,0.82630576687569
19248,PTVM,0.9672131147540983,0.2540983606557377,0.1388499298737728,0.7511663999999986,0.0,0.94,0.8491026382875403
19248,FULL,0.8688524590163934,0.3442622950819672,0.09537166900420757,0.7310839999999985,0.5304,0.94,0.7752126301335844
19248,PTVM_conditional_A,0.9672131147540983,0.2540983606557377,0.1388499298737728,0.7511663999999986,0.3708,0.94,0.8305626382875403
19249,PTVM,0.9402985074626866,0.208955223880597,0.12349183818310859,0.7141351999999993,0.0,0.94,0.847979418632035
19249,FULL,0.8955223880597015,0.2462686567164179,0.08729595457771469,0.6886391999999989,0.5108,0.94,0.8018182013232629
19249,PTVM_conditional_A,0.9402985074626866,0.208955223880597,0.12349183818310859,0.7141351999999993,0.3574,0.94,0.8301094186320349
19250,PTVM,0.9343065693430657,0.25547445255474455,0.1337979094076655,0.7069423999999981,0.0,0.94,0.8310522557827
19250,FULL,0.927007299270073,0.26277372262773724,0.10034843205574913,0.6914183999999982,0.5216,0.94,0.8045427527129374
19250,PTVM_conditional_A,0.9343065693430657,0.25547445255474455,0.1337979094076655,0.7069423999999981,0.3696,0.94,0.8125722557827
19251,PTVM,0.9503105590062112,0.2236024844720497,0.15745276417074877,0.7299119999999987,0.0,0.94,0.843684393749701
19251,FULL,0.9192546583850931,0.2422360248447205,0.09727081875437368,0.7089055999999986,0.531,0.94,0.8109943475534728
19251,PTVM_conditional_A,0.9503105590062112,0.2236024844720497,0.15745276417074877,0.7299119999999987,0.3632,0.94,0.8255243937497009
19252,PTVM,0.9649122807017544,0.2719298245614035,0.1266527487821851,0.7150559999999987,0.0,0.94,0.8391718783137383
19252,FULL,0.9385964912280702,0.2807017543859649,0.09324982602644398,0.6954983999999986,0.5334,0.94,0.8051832235666407
19252,PTVM_conditional_A,0.9649122807017544,0.2719298245614035,0.1266527487821851,0.7150559999999987,0.376,0.94,0.8203718783137383
19253,PTVM,0.9300699300699301,0.1958041958041958,0.14186851211072665,0.7450327999999993,0.0,0.94,0.8507027876477846
19253,FULL,0.9090909090909091,0.21678321678321677,0.08996539792387544,0.7341295999999992,0.5348,0.94,0.8206243089466932
19253,PTVM_conditional_A,0.9300699300699301,0.1958041958041958,0.14186851211072665,0.7450327999999993,0.3712,0.94,0.8321427876477846
19254,PTVM,0.9672131147540983,0.27049180327868855,0.15121255349500715,0.7477079999999987,0.0,0.94,0.8418400729075557
19254,FULL,0.9344262295081968,0.28688524590163933,0.10912981455064194,0.7216503999999986,0.5268,0.94,0.8047706744669205
19254,PTVM_conditional_A,0.9672131147540983,0.27049180327868855,0.15121255349500715,0.7477079999999987,0.3628,0.94,0.8237000729075556
19255,PTVM,0.9457364341085271,0.20155038759689922,0.1591549295774648,0.7410495999999986,0.0,0.94,0.8497122674178401
19255,FULL,0.9224806201550387,0.2248062015503876,0.1119718309859155,0.7228023999999986,0.5384,0.94,0.8157887494617314
19255,PTVM_conditional_A,0.9457364341085271,0.20155038759689922,0.1591549295774648,0.7410495999999986,0.3636,0.94,0.83153226741784
19256,PTVM,0.9586776859504132,0.2066115702479339,0.1295373665480427,0.7288455999999987,0.0,0.94,0.8558120599135317
19256,FULL,0.9421487603305785,0.21487603305785125,0.09181494661921709,0.7141271999999989,0.5218,0.94,0.827298070510867
19256,PTVM_conditional_A,0.9586776859504132,0.2066115702479339,0.1295373665480427,0.7288455999999987,0.362,0.94,0.8377120599135317
19257,PTVM,0.9126984126984127,0.3253968253968254,0.1423562412342216,0.7168271999999983,0.0,0.94,0.8073545092134728
19257,FULL,0.873015873015873,0.3492063492063492,0.10448807854137447,0.6891343999999983,0.5268,0.94,0.7651924388948994
19257,PTVM_conditional_A,0.9126984126984127,0.3253968253968254,0.1423562412342216,0.7168271999999983,0.3682,0.94,0.7889445092134728
19258,PTVM,0.912,0.264,0.13795518207282914,0.7205359999999986,0.0,0.94,0.824116163585434
19258,FULL,0.856,0.32,0.09173669467787114,0.6951863999999985,0.531,0.94,0.7709399410644254
19258,PTVM_conditional_A,0.912,0.264,0.13795518207282914,0.7205359999999986,0.3642,0.94,0.805906163585434
19259,PTVM,0.9224137931034483,0.1896551724137931,0.13157894736842105,0.7578871999999989,0.0,0.94,0.8545719953539017
19259,FULL,0.8706896551724138,0.2413793103448276,0.08748221906116643,0.7393911999999988,0.5226,0.94,0.8051138651532839
19259,PTVM_conditional_A,0.9224137931034483,0.1896551724137931,0.13157894736842105,0.7578871999999989,0.3652,0.94,0.8363119953539017
19260,PTVM,0.9322033898305084,0.2288135593220339,0.12473572938689217,0.7044311999999986,0.0,0.94,0.8383967212412654
19260,FULL,0.8813559322033898,0.2627118644067797,0.0824524312896406,0.6809255999999986,0.5262,0.94,0.7921134473013937
19260,PTVM_conditional_A,0.9322033898305084,0.2288135593220339,0.12473572938689217,0.7044311999999986,0.3716,0.94,0.8198167212412654
19261,PTVM,0.9612403100775194,0.24031007751937986,0.13945339873861248,0.7317295999999988,0.0,0.94,0.8467498138956883
19261,FULL,0.9224806201550387,0.2713178294573643,0.09039943938332165,0.7075007999999986,0.535,0.94,0.805585000805506
19261,PTVM_conditional_A,0.9612403100775194,0.24031007751937986,0.13945339873861248,0.7317295999999988,0.3702,0.94,0.8282398138956882
19262,PTVM,0.9752066115702479,0.2231404958677686,0.1388121546961326,0.7357783999999986,0.0,0.94,0.8561701085649054
19262,FULL,0.9504132231404959,0.24793388429752067,0.09323204419889503,0.7220479999999985,0.5504,0.94,0.8213836870279894
19262,PTVM_conditional_A,0.9752066115702479,0.2231404958677686,0.1388121546961326,0.7357783999999986,0.3764,0.94,0.8373501085649053
19263,PTVM,0.9523809523809523,0.2619047619047619,0.13143254520166897,0.7186311999999987,0.0,0.94,0.8376778261977613
19263,FULL,0.9047619047619048,0.2777777777777778,0.09318497913769123,0.7037303999999982,0.5304,0.94,0.7975732111565883
19263,PTVM_conditional_A,0.9523809523809523,0.2619047619047619,0.13143254520166897,0.7186311999999987,0.375,0.94,0.8189278261977613
19264,PTVM,0.917910447761194,0.21641791044776118,0.13006993006993006,0.7118967999999982,0.0,0.94,0.8376340307024316
19264,FULL,0.8955223880597015,0.23134328358208955,0.09020979020979021,0.7081191999999985,0.5226,0.94,0.8082727774804297
19264,PTVM_conditional_A,0.917910447761194,0.21641791044776118,0.13006993006993006,0.7118967999999982,0.3718,0.94,0.8190440307024316
19265,PTVM,0.9354838709677419,0.2661290322580645,0.1522184300341297,0.749900799999999,0.0,0.94,0.8336493772189804
19265,FULL,0.9112903225806451,0.28225806451612906,0.09965870307167235,0.7318367999999992,0.532,0.94,0.8026582000308267
19265,PTVM_conditional_A,0.9354838709677419,0.2661290322580645,0.1522184300341297,0.749900799999999,0.3714,0.94,0.8150793772189803
19266,PTVM,0.8947368421052632,0.3082706766917293,0.14560439560439561,0.7232063999999987,0.0,0.94,0.8068737843377672
19266,FULL,0.8721804511278195,0.3308270676691729,0.0989010989010989,0.7024911999999987,0.534,0.94,0.7729653886408326
19266,PTVM_conditional_A,0.8947368421052632,0.3082706766917293,0.14560439560439561,0.7232063999999987,0.3716,0.94,0.7882937843377672
19267,PTVM,0.9365079365079365,0.2222222222222222,0.1475988700564972,0.7201095999999985,0.0,0.94,0.8398989713855257
19267,FULL,0.9047619047619048,0.24603174603174602,0.1059322033898305,0.6931031999999983,0.5292,0.94,0.8008948342426684
19267,PTVM_conditional_A,0.9365079365079365,0.2222222222222222,0.1475988700564972,0.7201095999999985,0.3622,0.94,0.8217889713855256
19268,PTVM,0.9181818181818182,0.24545454545454545,0.1421636615811373,0.703363999999998,0.0,0.94,0.8263309767746813
19268,FULL,0.8818181818181818,0.2727272727272727,0.09847434119278779,0.6859487999999979,0.5368,0.94,0.7870185281250784
19268,PTVM_conditional_A,0.9181818181818182,0.24545454545454545,0.1421636615811373,0.703363999999998,0.373,0.94,0.8076809767746812
19269,PTVM,0.9444444444444444,0.21428571428571427,0.14427860696517414,0.7375879999999989,0.0,0.94,0.8484237833688697
19269,FULL,0.9285714285714286,0.23015873015873015,0.09310589907604833,0.7219855999999989,0.5342,0.94,0.8200976862165362
19269,PTVM_conditional_A,0.9444444444444444,0.21428571428571427,0.14427860696517414,0.7375879999999989,0.3694,0.94,0.8299537833688697
19270,PTVM,0.9557522123893806,0.18584070796460178,0.15060670949321914,0.7491943999999983,0.0,0.94,0.8599830248270196
19270,FULL,0.9203539823008849,0.22123893805309736,0.10492505353319058,0.7169951999999982,0.525,0.94,0.8169604894703527
19270,PTVM_conditional_A,0.9557522123893806,0.18584070796460178,0.15060670949321914,0.7491943999999983,0.36,0.94,0.8419830248270196
19271,PTVM,0.963963963963964,0.22522522522522523,0.15416958654519972,0.7364567999999987,0.0,0.94,0.8493403255738426
19271,FULL,0.918918918918919,0.25225225225225223,0.1079187105816398,0.7133927999999984,0.5424,0.94,0.8065874304962845
19271,PTVM_conditional_A,0.963963963963964,0.22522522522522523,0.15416958654519972,0.7364567999999987,0.372,0.94,0.8307403255738426
19272,PTVM,0.9640287769784173,0.2589928057553957,0.15379310344827588,0.7135807999999985,0.0,0.94,0.8364179709650208
19272,FULL,0.9496402877697842,0.2733812949640288,0.10275862068965518,0.6983535999999986,0.5358,0.94,0.8088757584519967
19272,PTVM_conditional_A,0.9640287769784173,0.2589928057553957,0.15379310344827588,0.7135807999999985,0.371,0.94,0.8178679709650207
19273,PTVM,0.9328358208955224,0.21641791044776118,0.15663474692202461,0.7162751999999986,0.0,0.94,0.8376743592723113
