seed,model,trap_capture,false_consolidation,final_recall,final_false_alarm,final_violation,trajectory,integrated_score,final_quality
16709,simple_time_schedule,0.2603890362511052,0.0,0.8606060606060606,0.07066666666666667,0.30303030303030304,0.7114551111111105,0.8368594969450472,0.92
16709,simple_anti_capture,0.21383075523202913,0.0,0.8152866242038217,0.13066666666666665,0.3057324840764331,0.7118066666666663,0.8184554513800425,0.78
16709,simple_frozen_core,0.20641194554238032,0.0,0.7658227848101266,0.106,0.3291139240506329,0.7482582222222207,0.805876707145867,0.78
16709,tdc_evidence_validated,0.13807152557718425,0.0,0.8343949044585988,0.062,0.28662420382165604,0.7769204444444427,0.8535804347702204,0.9139591699765479
16710,simple_time_schedule,0.256,0.0,0.8304093567251462,0.06666666666666667,0.24561403508771928,0.7321111111111097,0.8414444444444443,0.92
16710,simple_anti_capture,0.22054915854738708,0.0,0.8322981366459627,0.12066666666666667,0.36645962732919257,0.725246666666666,0.8128104999979827,0.78
16710,simple_frozen_core,0.2176991150442478,0.0,0.7466666666666667,0.13133333333333333,0.38,0.7313315555555552,0.7831353861160275,0.78
16710,tdc_evidence_validated,0.14383249886208466,0.0,0.8636363636363636,0.050666666666666665,0.2727272727272727,0.7755444444444429,0.8663106824825404,0.913911077196911
16711,simple_time_schedule,0.27580149319279756,0.0,0.8085106382978723,0.06733333333333333,0.3475177304964539,0.7138106666666665,0.8108698630097458,0.92
16711,simple_anti_capture,0.2184065934065934,0.0,0.7371794871794872,0.12333333333333334,0.358974358974359,0.7269444444444437,0.7856598290598291,0.78
16711,simple_frozen_core,0.21241685144124167,0.0,0.7610062893081762,0.12,0.3836477987421384,0.7405226666666652,0.789854874508918,0.78
16711,tdc_evidence_validated,0.13440860215053763,0.0,0.8414634146341463,0.056666666666666664,0.3231707317073171,0.7631479999999986,0.8493135937477051,0.9121331645482114
16712,simple_time_schedule,0.2546916890080429,0.0,0.8223684210526315,0.064,0.34868421052631576,0.7174444444444439,0.818494625527178,0.92
16712,simple_anti_capture,0.21332133213321333,0.0,0.7346938775510204,0.11733333333333333,0.36054421768707484,0.7103871111111107,0.7857298176736858,0.78
16712,simple_frozen_core,0.22396514161220044,0.0,0.808641975308642,0.11666666666666667,0.30246913580246915,0.7299564444444431,0.8189419033841685,0.78
16712,tdc_evidence_validated,0.12926073483842407,0.0,0.8726114649681529,0.051333333333333335,0.2484076433121019,0.7890239999999976,0.876326367950646,0.9143294159272759
16713,simple_time_schedule,0.28236853733981443,0.0,0.8618421052631579,0.07066666666666667,0.3157894736842105,0.7291875555555548,0.8323106438367535,0.92
16713,simple_anti_capture,0.22397476340694006,0.0,0.7752808988764045,0.12333333333333334,0.38202247191011235,0.7282191111111105,0.7917520728483717,0.78
16713,simple_frozen_core,0.21917191719171916,0.0,0.8098159509202454,0.11133333333333334,0.31901840490797545,0.7383262222222202,0.8179500847765266,0.78
16713,tdc_evidence_validated,0.14304812834224598,0.0,0.8881578947368421,0.054,0.26973684210526316,0.7791342222222205,0.8739186309209744,0.9138908319388764
