seed,model,phase2_core_accuracy,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,phase2_reward_capture_rate,false_consolidation_rate,integrated_score,long_term_trajectory_value
13605,ablate_ethicalsense,0.5588461538461539,0.5100418442850941,0.7077102319822897,0.8601414783910235,0.8801257585697989,0.33390441829286355,0.2523076923076923,0.16129032258064516,0.7406970630860039,0.03286250000000084
13605,ablate_idealgap,0.6211538461538462,0.95,0.94,0.95,0.95,0.1,0.2123076923076923,0.1598233995584989,0.8249599677364579,0.16144038461538454
13605,ablate_shadow_validation,0.6042307692307692,0.6686555856577154,0.9367,0.8942542157609633,0.910448191787523,0.3900711325499797,0.23307692307692307,0.4410480349344978,0.7297084511918561,0.09758557692307514
13605,ablate_core_constraint,0.5488461538461539,0.6844189224355455,0.9266763211666895,0.95,0.8638323777693794,0.3069956281182907,0.2573076923076923,0.35625,0.7322075159515168,0.01244519230769286
13606,full_loop,0.5915384615384616,0.5367239134780676,0.94,0.8935043620590456,0.909781655163596,0.32033245213909844,0.24,0.17704918032786884,0.7621118148725399,0.09565961538461291
13606,ablate_ethicalsense,0.5584615384615385,0.514056060696392,0.707190206921706,0.8611161161225909,0.8809921032200803,0.3352331356025841,0.2473076923076923,0.17037037037037037,0.7405630614542109,0.061786538461539725
13606,ablate_idealgap,0.6142307692307692,0.95,0.94,0.95,0.95,0.1,0.22076923076923077,0.17701453104359313,0.8202408545879483,0.1734413461538463
13606,ablate_shadow_validation,0.5969230769230769,0.6812005339879836,0.9356627885838862,0.8944527568355385,0.9106246727427012,0.396596320763976,0.2103846153846154,0.45454545454545453,0.729021931427806,0.11294134615384434
13606,ablate_core_constraint,0.61,0.6474725737587481,0.94,0.95,0.9017109576871245,0.28465016431862,0.21923076923076923,0.2780487804878049,0.771955173456236,0.13123269230769175
13607,full_loop,0.6115384615384616,0.5418249955010883,0.94,0.8939191703781498,0.9101503736694689,0.3227073556187883,0.2273076923076923,0.2032258064516129,0.7661777278410983,0.09483557692307473
13607,ablate_ethicalsense,0.5561538461538461,0.5259048277939005,0.7034456851606354,0.8600467800159847,0.8800415822364314,0.3424435914767597,0.24923076923076923,0.20350877192982456,0.7349517636890337,0.07585865384615152
13607,ablate_idealgap,0.6026923076923076,0.95,0.94,0.95,0.95,0.1,0.2230769230769231,0.1798469387755102,0.8167268445839874,0.13968846153846096
13607,ablate_shadow_validation,0.5876923076923077,0.6912564298303605,0.94,0.8933379671330642,0.9096337485627242,0.40288845663197204,0.24115384615384616,0.4700854700854701,0.7192356292791617,0.11127596153845935
13607,ablate_core_constraint,0.6223076923076923,0.6522191951750259,0.94,0.95,0.8946025591156398,0.2743835938796417,0.21884615384615386,0.2791762013729977,0.7750953526038818,0.11702307692307574
13608,full_loop,0.5415384615384615,0.5454396680736051,0.7543423570144079,0.8675666241183643,0.8867258881052115,0.34659563620728684,0.25653846153846155,0.2476489028213166,0.7276297816794184,0.047595192307693865
13608,ablate_ethicalsense,0.546923076923077,0.5267968598776913,0.7030759850514107,0.8598076190051208,0.8798289946712191,0.3431186427638343,0.27076923076923076,0.20833333333333334,0.728751196652488,0.051842307692309526
13608,ablate_idealgap,0.6169230769230769,0.95,0.94,0.95,0.95,0.1,0.2230769230769231,0.17218543046357615,0.821050687722873,0.18338750000000095
13608,ablate_shadow_validation,0.5288461538461539,0.6927546534761807,0.7109743807895818,0.8577046205893728,0.8779596627461095,0.43338196469615275,0.25884615384615384,0.49287169042769857,0.6833377772750503,-0.0222961538461514
13608,ablate_core_constraint,0.6073076923076923,0.6892580286315784,0.94,0.95,0.8948690013078712,0.26683695941193486,0.21846153846153846,0.32112068965517243,0.768393879691959,0.12145096153846006
13609,full_loop,0.5803846153846154,0.5550400112792857,0.9378,0.8936618048820233,0.9099216043395764,0.32996983528059964,0.24,0.2319277108433735,0.7524414990699453,0.05679134615384565
13609,ablate_ethicalsense,0.563076923076923,0.5285763715434197,0.7026110762317161,0.8598064924371366,0.8798279932774554,0.34406865445887663,0.25,0.20848056537102475,0.7357474485843585,0.06807788461538343
13609,ablate_idealgap,0.6203846153846154,0.95,0.94,0.95,0.95,0.1,0.20615384615384616,0.17007394519356242,0.8246656824037207,0.17568365384615456
