seed,model,P,T,V,M,Aanti,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_Q
18888,V,0,0,1,0,0,0.6790123456790124,0.3950617283950617,0.34022750775594623,0.586613333333329,0.58
18888,M,0,0,0,1,0,0.691358024691358,0.38271604938271603,0.4188210961737332,0.5863238095238034,0.58
18888,A,0,0,0,0,1,0.6790123456790124,0.3950617283950617,0.34022750775594623,0.586613333333329,0.58
18888,P_T,1,1,0,0,0,0.7901234567901234,0.32098765432098764,0.1737331954498449,0.7186266666666636,0.8706139582095971
18888,P_V,1,0,1,0,0,0.8395061728395061,0.2716049382716049,0.18407445708376421,0.7174171428571396,0.94
18888,P_M,1,0,0,1,0,0.7530864197530864,0.345679012345679,0.4188210961737332,0.6122723809523748,0.5786618134392133
18888,P_A,1,0,0,0,1,0.7777777777777778,0.3333333333333333,0.19338159255429163,0.6951819047619012,0.8307185048761748
18888,P_T_V,1,1,1,0,0,0.8395061728395061,0.2716049382716049,0.17063081695966908,0.729902857142854,0.94
18888,P_T_V_M,1,1,1,1,0,0.9629629629629629,0.18518518518518517,0.17890382626680454,0.7870999999999956,0.94
18888,FULL,1,1,1,1,1,0.9135802469135802,0.2222222222222222,0.11995863495346432,0.759139999999996,0.94
18889,base,0,0,0,0,0,0.7070707070707071,0.48484848484848486,0.3292307692307692,0.5190590476190443,0.58
18889,P,1,0,0,0,0,0.8484848484848485,0.36363636363636365,0.19384615384615383,0.674817142857139,0.8854305981876027
18889,T,0,1,0,0,0,0.7070707070707071,0.48484848484848486,0.3292307692307692,0.5190590476190443,0.58
18889,V,0,0,1,0,0,0.7070707070707071,0.48484848484848486,0.3292307692307692,0.5190590476190443,0.58
18889,M,0,0,0,1,0,0.7474747474747475,0.4444444444444444,0.4082051282051282,0.5132228571428534,0.58
18889,A,0,0,0,0,1,0.7070707070707071,0.48484848484848486,0.3292307692307692,0.5190590476190443,0.58
18889,P_T,1,1,0,0,0,0.8484848484848485,0.36363636363636365,0.15282051282051282,0.6975819047619013,0.904876312001565
18889,P_V,1,0,1,0,0,0.8585858585858586,0.35353535353535354,0.15692307692307692,0.6844914285714251,0.94
18889,P_M,1,0,0,1,0,0.8080808080808081,0.3939393939393939,0.4041025641025641,0.5360619047619003,0.6242476538854294
18889,P_A,1,0,0,0,1,0.8484848484848485,0.36363636363636365,0.19384615384615383,0.674817142857139,0.8854305981876027
18889,P_T_V,1,1,1,0,0,0.8585858585858586,0.35353535353535354,0.14871794871794872,0.6885066666666633,0.94
18889,P_T_V_M,1,1,1,1,0,0.9696969696969697,0.26262626262626265,0.19487179487179487,0.7198742857142812,0.94
18889,FULL,1,1,1,1,1,0.9393939393939394,0.29292929292929293,0.12307692307692308,0.709895238095234,0.94
18890,base,0,0,0,0,0,0.5494505494505495,0.5164835164835165,0.354251012145749,0.5483780952380914,0.58
18890,P,1,0,0,0,0,0.7472527472527473,0.32967032967032966,0.19129554655870445,0.6930028571428534,0.7923407405477744
18890,T,0,1,0,0,0,0.5494505494505495,0.5164835164835165,0.354251012145749,0.5483780952380914,0.58
18890,V,0,0,1,0,0,0.5494505494505495,0.5164835164835165,0.354251012145749,0.5483780952380914,0.58
18890,M,0,0,0,1,0,0.6043956043956044,0.4835164835164835,0.41194331983805665,0.5571323809523759,0.58
18890,A,0,0,0,0,1,0.5494505494505495,0.5164835164835165,0.354251012145749,0.5483780952380914,0.58
18890,P_T,1,1,0,0,0,0.7582417582417582,0.31868131868131866,0.1720647773279352,0.7107133333333296,0.8662912908140283
18890,P_V,1,0,1,0,0,0.7912087912087912,0.2857142857142857,0.17105263157894737,0.6995780952380919,0.94
18890,P_M,1,0,0,1,0,0.8021978021978022,0.3076923076923077,0.402834008097166,0.6158419047618988,0.7125074341181643
18890,P_A,1,0,0,0,1,0.7472527472527473,0.32967032967032966,0.19129554655870445,0.6930028571428534,0.7923407405477744
18890,P_T_V,1,1,1,0,0,0.7912087912087912,0.2857142857142857,0.16497975708502025,0.7006180952380919,0.94
18890,P_T_V_M,1,1,1,1,0,0.9120879120879121,0.1978021978021978,0.15688259109311742,0.7604419047619008,0.94
18890,FULL,1,1,1,1,1,0.8351648351648352,0.25274725274725274,0.11336032388663968,0.7327438095238058,0.94
18891,base,0,0,0,0,0,0.5949367088607594,0.4936708860759494,0.3405128205128205,0.544819047619043,0.58
18891,P,1,0,0,0,0,0.759493670886076,0.34177215189873417,0.2082051282051282,0.6914799999999955,0.8009701598645623
18891,T,0,1,0,0,0,0.5949367088607594,0.4936708860759494,0.3405128205128205,0.544819047619043,0.58
18891,V,0,0,1,0,0,0.5949367088607594,0.4936708860759494,0.3405128205128205,0.544819047619043,0.58
18891,M,0,0,0,1,0,0.620253164556962,0.4810126582278481,0.4082051282051282,0.5406571428571373,0.58
18891,A,0,0,0,0,1,0.5949367088607594,0.4936708860759494,0.3405128205128205,0.544819047619043,0.58
18891,P_T,1,1,0,0,0,0.7721518987341772,0.3291139240506329,0.1753846153846154,0.7076790476190437,0.8427425414034715
18891,P_V,1,0,1,0,0,0.7848101265822784,0.31645569620253167,0.14974358974358976,0.7154314285714248,0.94
18891,P_M,1,0,0,1,0,0.7088607594936709,0.3924050632911392,0.3958974358974359,0.5982047619047557,0.6148336900971136
