seed,model,critical_recall,critical_precision,f1_like,false_alarm_rate,miss_rate,review_trigger_rate,irreversible_core_violation_rate,net_vigilance_value,long_term_trajectory_value,final_threshold
14655,structural_score,0.44314079422382674,0.3847962382445141,0.4119127516778523,0.12661290322580646,0.5568592057761733,0.20580645161290323,0.18592057761732853,0.5635988335141005,0.8343122580645025,0.17
14655,adaptive_detector,0.07614678899082569,0.6384615384615384,0.1360655737704918,0.007580645161290323,0.9238532110091743,0.020967741935483872,0.29174311926605506,0.49966159537414345,0.734932258064519,0.76
14656,fixed_threshold,0.7231740306582507,0.43610657966286026,0.5440976933514248,0.16725806451612904,0.2768259693417493,0.29661290322580647,0.11902614968440037,0.6877653383933289,0.9033312903225561,0.58
14656,calibrated_score,0.34740545294635006,0.5524475524475524,0.42656587473002155,0.05161290322580645,0.6525945470536499,0.1153225806451613,0.148636763412489,0.5936271820782842,0.866095161290314,0.6
14656,structural_score,0.41458910433979684,0.3776282590412111,0.39524647887323944,0.11935483870967742,0.5854108956602031,0.1917741935483871,0.14127423822714683,0.5591920230965766,0.87805709677418,0.17
14656,adaptive_detector,0.06014362657091562,0.6203703703703703,0.10965630114566284,0.0066129032258064515,0.9398563734290843,0.017419354838709676,0.2719928186714542,0.49184910823257383,0.7474980645161324,0.76
14657,fixed_threshold,0.7175239755884917,0.43963675213675213,0.5452136469029479,0.16919354838709677,0.28247602441150826,0.30193548387096775,0.13775065387968613,0.6832624579914903,0.8810309677419117,0.58
14657,calibrated_score,0.33122171945701356,0.547085201793722,0.41262683201803835,0.04887096774193549,0.6687782805429864,0.10790322580645162,0.16108597285067874,0.5844775800462504,0.8579409677419267,0.6
14657,structural_score,0.42438563327032136,0.38540772532188844,0.4039586144849303,0.11548387096774193,0.5756143667296786,0.1879032258064516,0.15784499054820417,0.5631384084709447,0.8667564516128904,0.17
14657,adaptive_detector,0.0740402193784278,0.6044776119402985,0.13192182410423453,0.008548387096774194,0.9259597806215722,0.021612903225806453,0.29250457038391225,0.4890495737682408,0.7334070967741966,0.76
14658,fixed_threshold,0.7176573426573427,0.4452277657266811,0.5495314591700134,0.165,0.28234265734265734,0.2974193548387097,0.125,0.6876735646132609,0.8936748387096527,0.58
14658,calibrated_score,0.348294434470377,0.5664233576642336,0.43135075041689824,0.047903225806451614,0.651705565529623,0.11048387096774194,0.1687612208258528,0.595326049267431,0.850679032258055,0.6
14658,structural_score,0.4430493273542601,0.3990306946688207,0.4198895027624309,0.12,0.5569506726457399,0.1996774193548387,0.14349775784753363,0.5755276976462833,0.8738819354838565,0.17
14658,adaptive_detector,0.07869142351900972,0.644927536231884,0.14026792750197004,0.007903225806451614,0.9213085764809903,0.022258064516129033,0.26436781609195403,0.5067610198622773,0.7512045161290342,0.76
14659,fixed_threshold,0.6987012987012987,0.4355099838100378,0.5365691489361702,0.16870967741935483,0.3012987012987013,0.2988709677419355,0.12727272727272726,0.676717910674184,0.8903641935483614,0.58
14659,calibrated_score,0.3462578899909829,0.5565217391304348,0.42690383546414684,0.04935483870967742,0.6537421100090172,0.11129032258064517,0.1704238052299369,0.5912524053485634,0.8491838709677334,0.6
14659,structural_score,0.4657168299198575,0.41739824421388666,0.44023569023569026,0.11774193548387096,0.5342831700801425,0.20209677419354838,0.13802315227070347,0.5905666509990248,0.8785577419354687,0.17
14659,adaptive_detector,0.07835820895522388,0.5915492957746479,0.1383855024711697,0.00935483870967742,0.9216417910447762,0.022903225806451613,0.2667910447761194,0.4910394840879654,0.7619696774193573,0.76
14660,fixed_threshold,0.7103064066852368,0.42218543046357615,0.529595015576324,0.1688709677419355,0.28969359331476324,0.292258064516129,0.1244196843082637,0.6778244313873207,0.8990696774193305,0.58
14660,calibrated_score,0.34545454545454546,0.5740181268882175,0.43132803632236094,0.04548387096774194,0.6545454545454545,0.1067741935483871,0.18545454545454546,0.5941379787545074,0.8364083870967676,0.6
14660,structural_score,0.45152603231597843,0.414332784184514,0.4321305841924399,0.1146774193548387,0.5484739676840216,0.19580645161290322,0.1651705565529623,0.5805238473193908,0.8532587096774054,0.17
14660,adaptive_detector,0.0703336339044184,0.6190476190476191,0.12631578947368421,0.007741935483870968,0.9296663660955816,0.02032258064516129,0.2867448151487827,0.4927873954061104,0.734844516129035,0.76
14661,fixed_threshold,0.7323358270989194,0.45365602471678684,0.5602543720190779,0.17112903225806453,0.26766417290108063,0.3132258064516129,0.13050706566916043,0.6936269449047725,0.8831309677419098,0.58
14661,calibrated_score,0.32752613240418116,0.5758039816232772,0.41754580788450857,0.04467741935483871,0.6724738675958188,0.10532258064516128,0.17247386759581881,0.5900472908689045,0.8420416129032172,0.6
14661,structural_score,0.4403114186851211,0.40687450039968026,0.42293311175737436,0.11967741935483871,0.5596885813148789,0.2017741935483871,0.16176470588235295,0.573818910787209,0.8508848387096638,0.17
14661,adaptive_detector,0.08780903665814152,0.6959459459459459,0.15594246782740348,0.007258064516129033,0.9121909633418585,0.023870967741935485,0.27365728900255754,0.5231406809416462,0.7330529032258085,0.76
14662,fixed_threshold,0.6968641114982579,0.43057050592034446,0.5322687957418496,0.1706451612903226,0.30313588850174217,0.2996774193548387,0.13588850174216027,0.6729098147160308,0.8833206451612657,0.58
14662,calibrated_score,0.35335689045936397,0.6006006006006006,0.44493882091212456,0.04290322580645161,0.6466431095406361,0.10741935483870968,0.16607773851590105,0.608148767735021,0.8501412903225724,0.6
14662,structural_score,0.45454545454545453,0.4233226837060703,0.43837882547559964,0.11645161290322581,0.5454545454545454,0.20193548387096774,0.15437392795883362,0.5855965053689784,0.8579148387096627,0.17
14662,adaptive_detector,0.07225691347011597,0.7043478260869566,0.13106796116504854,0.005483870967741935,0.927743086529884,0.018548387096774192,0.2836752899197145,0.518299875261644,0.7352241935483895,0.76
14663,fixed_threshold,0.6925233644859813,0.4014084507042254,0.5082304526748971,0.1782258064516129,0.3074766355140187,0.29774193548387096,0.12897196261682242,0.6628370855218741,0.8949929032257825,0.58
14663,calibrated_score,0.33630686886708294,0.5576923076923077,0.41958820255982193,0.0482258064516129,0.6636931311329171,0.10903225806451614,0.17395182872435325,0.5874375185661509,0.8435703225806382,0.6
14663,structural_score,0.4224137931034483,0.408673894912427,0.41543026706231456,0.11435483870967741,0.5775862068965517,0.19338709677419355,0.15344827586206897,0.5698103368491169,0.8577764516128897,0.17
14663,adaptive_detector,0.08041958041958042,0.7022900763358778,0.14431372549019605,0.006290322580645161,0.9195804195804196,0.021129032258064517,0.27972027972027974,0.5213131591137254,0.7335751612903259,0.76
14664,fixed_threshold,0.7067014795474326,0.43306666666666666,0.5370370370370371,0.1714516129032258,0.29329852045256743,0.3024193548387097,0.13054830287206268,0.6780562101125804,0.8871209677419093,0.58
14664,calibrated_score,0.35543766578249336,0.5851528384279476,0.44224422442244227,0.04596774193548387,0.6445623342175066,0.11080645161290323,0.1839080459770115,0.6012096268524639,0.8339003225806372,0.6
14664,structural_score,0.4403183023872679,0.41919191919191917,0.42949547218628725,0.11129032258064517,0.5596816976127321,0.19161290322580646,0.15207780725022105,0.5803299850563477,0.8638658064515994,0.17
14664,adaptive_detector,0.07627906976744186,0.7008547008547008,0.1375838926174497,0.00564516129032258,0.9237209302325582,0.018870967741935484,0.266046511627907,0.521641791858221,0.762090645161293,0.76
14665,fixed_threshold,0.7156048014773777,0.42165397170837865,0.5306401917151661,0.1714516129032258,0.28439519852262235,0.2964516129032258,0.13204062788550322,0.6780051458554884,0.8920109677419111,0.58
14665,calibrated_score,0.3521383075523203,0.5512820512820513,0.42976124375347025,0.050806451612903224,0.6478616924476797,0.1132258064516129,0.15741583257506825,0.5938398367265226,0.8631245161290234,0.6
14665,structural_score,0.44554455445544555,0.41284403669724773,0.4285714285714286,0.1135483870967742,0.5544554455445545,0.19338709677419355,0.13861386138613863,0.5822863334690972,0.8786474193548234,0.17
14665,adaptive_detector,0.08401084010840108,0.6739130434782609,0.1493975903614458,0.007258064516129033,0.9159891598915989,0.022258064516129033,0.2908762420957543,0.5127731210668816,0.7319141935483896,0.76
14666,fixed_threshold,0.7147826086956521,0.4386339381003202,0.5436507936507936,0.1696774193548387,0.2852173913043478,0.302258064516129,0.11304347826086956,0.6858060019668274,0.9042199999999748,0.58
14666,calibrated_score,0.33425925925925926,0.546142208774584,0.414704192992533,0.04838709677419355,0.6657407407407407,0.10661290322580645,0.1824074074074074,0.582043474370862,0.8417654838709601,0.6
14666,structural_score,0.46260869565217394,0.4218873909595559,0.4413106594773953,0.11758064516129033,0.5373913043478261,0.20338709677419356,0.13304347826086957,0.5914683011657305,0.8802493548386936,0.17
14666,adaptive_detector,0.09691629955947137,0.7142857142857143,0.17067494181536078,0.0070967741935483875,0.9030837004405287,0.024838709677419354,0.2775330396475771,0.5311454881341481,0.7384264516129051,0.76
14667,fixed_threshold,0.7041095890410959,0.4217724288840263,0.5275401984262744,0.17048387096774192,0.2958904109589041,0.2948387096774194,0.14063926940639268,0.6724685440439274,0.8836141935483628,0.58
14667,calibrated_score,0.30964912280701756,0.5397553516819572,0.3935340022296544,0.04854838709677419,0.6903508771929825,0.10548387096774194,0.18421052631578946,0.570585771249669,0.8305877419354776,0.6
14667,structural_score,0.4193832599118943,0.38699186991869916,0.4025369978858351,0.12161290322580645,0.5806167400881057,0.19838709677419356,0.13656387665198239,0.5639828194987933,0.8777387096774049,0.17
14667,adaptive_detector,0.0728667305848514,0.59375,0.12980358667805295,0.008387096774193548,0.9271332694151486,0.02064516129032258,0.27900287631831255,0.4877892199919587,0.7576464516129058,0.76
14668,fixed_threshold,0.708904109589041,0.4357894736842105,0.5397653194263363,0.17290322580645162,0.2910958904109589,0.3064516129032258,0.14126712328767124,0.6776792939042258,0.8757741935483626,0.58
14668,calibrated_score,0.3136676499508358,0.5112179487179487,0.38878732480195005,0.049193548387096775,0.6863323500491643,0.10064516129032258,0.16322517207472959,0.5673638663807091,0.8671070967741865,0.6
14668,structural_score,0.45495495495495497,0.4142739950779327,0.43366251610133105,0.11516129032258064,0.545045045045045,0.19661290322580646,0.13153153153153152,0.5871055242015946,0.8859248387096623,0.17
14668,adaptive_detector,0.08788159111933395,0.6737588652482269,0.15548281505728315,0.007419354838709678,0.9121184088806661,0.02274193548387097,0.299722479185939,0.5127564063541326,0.7303590322580666,0.76
14669,fixed_threshold,0.7102633969118983,0.43014301430143015,0.5357999314833847,0.16709677419354838,0.28973660308810173,0.2932258064516129,0.13169845594913715,0.6791909625242212,0.8905077419354611,0.58
14669,calibrated_score,0.3546931407942238,0.5465924895688457,0.43021346469622335,0.052580645161290324,0.6453068592057761,0.11596774193548387,0.1624548736462094,0.5923719946686561,0.8571506451612819,0.6
14669,structural_score,0.4520547945205479,0.38671875,0.4168421052631579,0.12661290322580646,0.547945205479452,0.2064516129032258,0.13972602739726028,0.5749155849536014,0.8790451612903079,0.17
