seed,model,final_A_TF,final_R_ethical,final_H_self,final_capture_resistance,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,early_R_gain,late_R_gain
11822,no_codevelopment,0.22,0.54,0.68,0.28,0.4816666666666667,0.42660550458715596,-0.03916666666666667,0.6881243063263041,0.0,0.0
11822,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.4841666666666667,0.42391304347826086,-0.04583333333333333,0.6883886255924171,-0.040000000000000036,0.0
11822,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.47291666666666665,0.41838649155722324,-0.04375,0.7027677496991577,-0.040000000000000036,0.0
11823,no_codevelopment,0.22,0.54,0.68,0.28,0.5045833333333334,0.4508723599632691,0.00625,0.6967895362663495,0.0,0.0
11823,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.47791666666666666,0.40938967136150234,-0.04625,0.6703703703703704,-0.040000000000000036,0.0
11823,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.48541666666666666,0.45403899721448465,-0.004583333333333333,0.6914893617021277,-0.040000000000000036,0.0
11824,no_codevelopment,0.22,0.54,0.68,0.28,0.4816666666666667,0.4458058435438266,-0.008333333333333333,0.7074285714285714,0.0,0.0
11824,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.4866666666666667,0.4113680154142582,-0.0225,0.7167277167277167,-0.040000000000000036,0.0
11824,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.4741666666666667,0.43033175355450237,-0.02666666666666667,0.7217090069284064,-0.040000000000000036,0.0
11825,no_codevelopment,0.22,0.54,0.68,0.28,0.49625,0.45626690712353474,-0.00625,0.6822429906542056,0.0,0.0
11825,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.47583333333333333,0.4272300469483568,-0.0325,0.7012401352874859,-0.040000000000000036,0.0
11825,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.48583333333333334,0.42333654773384766,-0.0125,0.6895734597156398,-0.040000000000000036,0.0
