seed,model,phase,A_TF,R_ethical,H_self,capture_resistance,R_gain_in_phase
11813,one_way_thirdfactor_to_ethicalsense,1,0.22,0.50396,0.9,0.1,-0.03604000000000007
11813,one_way_thirdfactor_to_ethicalsense,2,0.22,0.5,0.9,0.1,-0.0039599999999999635
11813,one_way_thirdfactor_to_ethicalsense,3,0.22,0.5,0.9,0.1,0.0
11813,one_way_thirdfactor_to_ethicalsense,4,0.22,0.5,0.9,0.1,0.0
11813,one_way_thirdfactor_to_ethicalsense,5,0.22,0.5,0.9,0.1,0.0
11813,one_way_thirdfactor_to_ethicalsense,6,0.22,0.5,0.9,0.1,0.0
11813,bidirectional_codevelopment,1,0.1,0.5,0.9,0.1,-0.040000000000000036
11813,bidirectional_codevelopment,2,0.1,0.5,0.9,0.1,0.0
11813,bidirectional_codevelopment,3,0.1,0.5,0.9,0.1,0.0
11813,bidirectional_codevelopment,4,0.1,0.5,0.9,0.1,0.0
11813,bidirectional_codevelopment,5,0.1,0.5,0.9,0.1,0.0
11813,bidirectional_codevelopment,6,0.1,0.5,0.9,0.1,0.0
11814,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11814,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11814,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11814,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11814,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11814,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
11814,one_way_thirdfactor_to_ethicalsense,1,0.22,0.50396,0.9,0.1,-0.03604000000000007
11814,one_way_thirdfactor_to_ethicalsense,2,0.22,0.5,0.9,0.1,-0.0039599999999999635
11814,one_way_thirdfactor_to_ethicalsense,3,0.22,0.5,0.9,0.1,0.0
11814,one_way_thirdfactor_to_ethicalsense,4,0.22,0.5,0.9,0.1,0.0
11814,one_way_thirdfactor_to_ethicalsense,5,0.22,0.5,0.9,0.1,0.0
11814,one_way_thirdfactor_to_ethicalsense,6,0.22,0.5,0.9,0.1,0.0
11814,bidirectional_codevelopment,1,0.1,0.5,0.9,0.1,-0.040000000000000036
11814,bidirectional_codevelopment,2,0.1,0.5,0.9,0.1,0.0
11814,bidirectional_codevelopment,3,0.1,0.5,0.9,0.1,0.0
11814,bidirectional_codevelopment,4,0.1,0.5,0.9,0.1,0.0
11814,bidirectional_codevelopment,5,0.1,0.5,0.9,0.1,0.0
11814,bidirectional_codevelopment,6,0.1,0.5,0.9,0.1,0.0
11815,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11815,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11815,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11815,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11815,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11815,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
11815,one_way_thirdfactor_to_ethicalsense,1,0.22,0.5,0.9,0.1,-0.040000000000000036
11815,one_way_thirdfactor_to_ethicalsense,2,0.22,0.5,0.9,0.1,0.0
11815,one_way_thirdfactor_to_ethicalsense,3,0.22,0.5,0.9,0.1,0.0
11815,one_way_thirdfactor_to_ethicalsense,4,0.22,0.5,0.9,0.1,0.0
11815,one_way_thirdfactor_to_ethicalsense,5,0.22,0.5,0.9,0.1,0.0
11815,one_way_thirdfactor_to_ethicalsense,6,0.22,0.5,0.9,0.1,0.0
11815,bidirectional_codevelopment,1,0.1,0.5,0.9,0.1,-0.040000000000000036
11815,bidirectional_codevelopment,2,0.1,0.5,0.9,0.1,0.0
11815,bidirectional_codevelopment,3,0.1,0.5,0.9,0.1,0.0
11815,bidirectional_codevelopment,4,0.1,0.5,0.9,0.1,0.0
11815,bidirectional_codevelopment,5,0.1,0.5,0.9,0.1,0.0
11815,bidirectional_codevelopment,6,0.1,0.5,0.9,0.1,0.0
11816,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11816,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11816,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11816,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11816,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11816,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
11816,one_way_thirdfactor_to_ethicalsense,1,0.22,0.5,0.9,0.1,-0.040000000000000036
11816,one_way_thirdfactor_to_ethicalsense,2,0.22,0.5,0.9,0.1,0.0
11816,one_way_thirdfactor_to_ethicalsense,3,0.22,0.5,0.9,0.1,0.0
11816,one_way_thirdfactor_to_ethicalsense,4,0.22,0.5,0.9,0.1,0.0
11816,one_way_thirdfactor_to_ethicalsense,5,0.22,0.5,0.9,0.1,0.0
11816,one_way_thirdfactor_to_ethicalsense,6,0.22,0.5,0.9,0.1,0.0
11816,bidirectional_codevelopment,1,0.1,0.5,0.9,0.1,-0.040000000000000036
