delta,L,detector,balanced_accuracy,tpr,tnr,auc
0.7,48,MAGNITUDE_4,0.675,0.5125,0.8375,0.731875
0.7,48,MAX_HORIZON,0.90625,0.9375,0.875,0.9590625
0.7,48,ORACLE_LLR,0.95625,0.925,0.9875,0.9953125
0.8,2,MAGNITUDE_4,0.65,0.4875,0.8125,0.666875
0.8,2,MAX_HORIZON,0.63125,0.3625,0.9,0.67015625
0.8,2,ORACLE_LLR,0.65,0.5875,0.7125,0.735
0.8,4,MAGNITUDE_4,0.8625,0.9125,0.8125,0.93140625
0.8,4,MAX_HORIZON,0.825,0.8,0.85,0.9165625
0.8,4,ORACLE_LLR,0.775,0.75,0.8,0.8425
0.8,6,MAGNITUDE_4,0.84375,0.85,0.8375,0.90609375
0.8,6,MAX_HORIZON,0.8187500000000001,0.8,0.8375,0.91390625
0.8,6,ORACLE_LLR,0.79375,0.75,0.8375,0.86296875
0.8,8,MAGNITUDE_4,0.85625,0.9125,0.8,0.926875
0.8,8,MAX_HORIZON,0.90625,0.9875,0.825,0.98109375
0.8,8,ORACLE_LLR,0.8625,0.9,0.825,0.9403125
0.8,12,MAGNITUDE_4,0.81875,0.8125,0.825,0.9
0.8,12,MAX_HORIZON,0.95625,0.9875,0.925,0.99859375
0.8,12,ORACLE_LLR,0.91875,0.8875,0.95,0.9734375
0.8,18,MAGNITUDE_4,0.8625,0.825,0.9,0.92234375
0.8,18,MAX_HORIZON,0.95625,1.0,0.9125,0.99796875
0.8,18,ORACLE_LLR,0.91875,0.8875,0.95,0.98390625
0.8,24,MAGNITUDE_4,0.8125,0.8,0.825,0.868125
0.8,24,MAX_HORIZON,0.9375,1.0,0.875,0.999375
0.8,24,ORACLE_LLR,0.96875,0.9875,0.95,0.99734375
0.8,36,MAGNITUDE_4,0.73125,0.625,0.8375,0.78953125
0.8,36,MAX_HORIZON,0.91875,0.9875,0.85,0.994375
0.8,36,ORACLE_LLR,0.98125,0.9875,0.975,0.9990625
0.8,48,MAGNITUDE_4,0.6625,0.575,0.75,0.75875
0.8,48,MAX_HORIZON,0.875,0.9,0.85,0.96484375
0.8,48,ORACLE_LLR,0.98125,0.9625,1.0,0.9984375
0.9,2,MAGNITUDE_4,0.6375,0.475,0.8,0.7171875
0.9,2,MAX_HORIZON,0.63125,0.3625,0.9,0.73140625
0.9,2,ORACLE_LLR,0.79375,0.7625,0.825,0.8340625
0.9,4,MAGNITUDE_4,0.875,0.9125,0.8375,0.9546875
0.9,4,MAX_HORIZON,0.8375,0.8125,0.8625,0.925
0.9,4,ORACLE_LLR,0.8187500000000001,0.775,0.8625,0.87796875
0.9,6,MAGNITUDE_4,0.83125,0.875,0.7875,0.91953125
0.9,6,MAX_HORIZON,0.90625,0.95,0.8625,0.95796875
0.9,6,ORACLE_LLR,0.8625,0.8375,0.8875,0.94296875
0.9,8,MAGNITUDE_4,0.90625,0.975,0.8375,0.97953125
0.9,8,MAX_HORIZON,0.93125,1.0,0.8625,0.99875
0.9,8,ORACLE_LLR,0.88125,0.8875,0.875,0.965625
0.9,12,MAGNITUDE_4,0.83125,0.925,0.7375,0.9125
0.9,12,MAX_HORIZON,0.9,1.0,0.8,0.99953125
0.9,12,ORACLE_LLR,0.95,0.95,0.95,0.9878125
0.9,18,MAGNITUDE_4,0.83125,0.9125,0.75,0.9128125
0.9,18,MAX_HORIZON,0.9,1.0,0.8,1.0
0.9,18,ORACLE_LLR,0.9875,0.975,1.0,0.9990625
0.9,24,MAGNITUDE_4,0.79375,0.85,0.7375,0.89125
0.9,24,MAX_HORIZON,0.89375,1.0,0.7875,1.0
0.9,24,ORACLE_LLR,0.99375,1.0,0.9875,1.0
0.9,36,MAGNITUDE_4,0.79375,0.7375,0.85,0.86375
0.9,36,MAX_HORIZON,0.95,1.0,0.9,0.9965625
0.9,36,ORACLE_LLR,0.9875,0.9875,0.9875,0.99984375
0.9,48,MAGNITUDE_4,0.775,0.7375,0.8125,0.83875
0.9,48,MAX_HORIZON,0.93125,1.0,0.8625,0.9965625
0.9,48,ORACLE_LLR,1.0,1.0,1.0,1.0
1.0,2,MAGNITUDE_4,0.66875,0.4875,0.85,0.71265625
1.0,2,MAX_HORIZON,0.6312500000000001,0.3375,0.925,0.71703125
1.0,2,ORACLE_LLR,0.71875,0.7125,0.725,0.80828125
1.0,4,MAGNITUDE_4,0.84375,0.9375,0.75,0.94765625
1.0,4,MAX_HORIZON,0.875,0.875,0.875,0.91859375
1.0,4,ORACLE_LLR,0.85,0.825,0.875,0.90953125
1.0,6,MAGNITUDE_4,0.8500000000000001,0.9875,0.7125,0.9728125
1.0,6,MAX_HORIZON,0.8999999999999999,0.95,0.85,0.9709375
1.0,6,ORACLE_LLR,0.8812500000000001,0.8625,0.9,0.9415625
1.0,8,MAGNITUDE_4,0.90625,0.9375,0.875,0.975
1.0,8,MAX_HORIZON,0.9125000000000001,0.9875,0.8375,0.99609375
1.0,8,ORACLE_LLR,0.93125,0.9,0.9625,0.98
1.0,12,MAGNITUDE_4,0.86875,0.925,0.8125,0.95390625
1.0,12,MAX_HORIZON,0.95,1.0,0.9,1.0
1.0,12,ORACLE_LLR,0.9875,0.975,1.0,0.99828125
1.0,18,MAGNITUDE_4,0.8999999999999999,0.975,0.825,0.97640625
1.0,18,MAX_HORIZON,0.94375,1.0,0.8875,1.0
1.0,18,ORACLE_LLR,0.9875,0.975,1.0,0.9996875
1.0,24,MAGNITUDE_4,0.8187500000000001,0.925,0.7125,0.925
1.0,24,MAX_HORIZON,0.95,1.0,0.9,1.0
1.0,24,ORACLE_LLR,0.99375,1.0,0.9875,1.0
1.0,36,MAGNITUDE_4,0.8125,0.825,0.8,0.9065625
1.0,36,MAX_HORIZON,0.94375,1.0,0.8875,0.99984375
1.0,36,ORACLE_LLR,1.0,1.0,1.0,1.0
1.0,48,MAGNITUDE_4,0.775,0.775,0.775,0.85
1.0,48,MAX_HORIZON,0.90625,0.975,0.8375,0.98796875
1.0,48,ORACLE_LLR,1.0,1.0,1.0,1.0
