world,delta,L,selected_scale,oracle_scale,pred8,pred18,pred128,err8,err18,err128
SINGLE_SHIFT,0.55,4,8,8,0.17793284535414053,0.24163396543321555,0.25183635502802376,0.3,0.7,0.72
SINGLE_SHIFT,0.55,4,8,8,0.2468512620552004,0.27856661850648257,0.3123842491258376,0.04,0.04,0.08
SINGLE_SHIFT,0.55,4,8,8,0.19843433348889417,0.22451247810950417,0.29335444072937333,0.06,0.32,0.5
SINGLE_SHIFT,0.55,4,18,8,0.19305274116007531,0.17246632071483528,0.22167193430862164,0.1,0.1,0.1
SINGLE_SHIFT,0.55,4,8,8,0.15951893342466153,0.20465652111050153,0.20788439420058794,0.3,0.58,0.56
SINGLE_SHIFT,0.55,6,18,8,0.21744584883346235,0.1794200256096843,0.21687820417560627,0.08,0.08,0.08
SINGLE_SHIFT,0.55,6,18,8,0.19980351161289994,0.17450479249342346,0.20862063184141091,0.7,0.72,0.78
SINGLE_SHIFT,0.55,6,18,8,0.2024297915595512,0.1700551261354883,0.17606629624880357,0.06,0.06,0.06
SINGLE_SHIFT,0.55,6,128,8,0.25026904885412016,0.23857735974444633,0.23111017159455136,0.56,0.68,0.68
SINGLE_SHIFT,0.55,6,8,18,0.16519495696818423,0.2206347729382964,0.3150314441087117,0.26,0.04,0.08
SINGLE_SHIFT,0.55,6,18,18,0.17764129592810338,0.1545830279204784,0.16057411844436995,0.56,0.52,0.54
SINGLE_SHIFT,0.55,6,18,8,0.18476297899033076,0.15020578504966114,0.19223328720199853,0.1,0.1,0.14
SINGLE_SHIFT,0.55,6,18,8,0.17545279042654183,0.15645129294923038,0.17899539522383326,0.52,0.52,0.58
SINGLE_SHIFT,0.55,8,18,8,0.1743032716298576,0.16714299679177733,0.2506980882035761,0.04,0.08,0.08
SINGLE_SHIFT,0.55,8,8,8,0.16868770672606162,0.19213299931081423,0.34257985068257973,0.08,0.2,0.78
SINGLE_SHIFT,0.55,8,8,8,0.18367490499699335,0.18979457491137103,0.28652849399177327,0.04,0.04,0.08
SINGLE_SHIFT,0.55,8,18,8,0.18012180993371268,0.16380177739581142,0.2871902116871217,0.02,0.22,0.68
SINGLE_SHIFT,0.55,8,8,18,0.1721761979741131,0.2145745634735483,0.3137528783739455,0.14,0.04,0.08
SINGLE_SHIFT,0.55,8,8,8,0.17376970973281486,0.1938990065328105,0.28287564080083466,0.02,0.26,0.52
SINGLE_SHIFT,0.55,8,18,18,0.1927515246890893,0.16127510287095204,0.2695384027146621,0.1,0.06,0.14
SINGLE_SHIFT,0.55,8,8,8,0.18465600586302114,0.19603980826353776,0.26421365939955943,0.18,0.36,0.54
SINGLE_SHIFT,0.55,12,18,8,0.198047128132279,0.14733140234418615,0.2517493667027403,0.06,0.06,0.08
SINGLE_SHIFT,0.55,12,18,8,0.19793471028721815,0.1619847757889984,0.24910131683660489,0.36,0.36,0.72
SINGLE_SHIFT,0.55,12,18,8,0.19108442270006654,0.18357025085430778,0.23557900540116455,0.04,0.06,0.06
SINGLE_SHIFT,0.55,12,8,8,0.19330540350775735,0.19764855376785795,0.3344253743427607,0.0,0.02,0.66
SINGLE_SHIFT,0.55,12,8,8,0.17302860841769468,0.2109593131330872,0.2969856243494856,0.04,0.04,0.08
SINGLE_SHIFT,0.55,12,18,8,0.18039282654338729,0.1700557255982221,0.29092950856565275,0.04,0.04,0.42
SINGLE_SHIFT,0.55,12,18,18,0.19847125958955936,0.1733655950730506,0.1924355591990027,0.14,0.1,0.14
SINGLE_SHIFT,0.55,12,8,8,0.17679755000121183,0.1959487336750004,0.25352896738056113,0.22,0.46,0.58
SINGLE_SHIFT,0.55,18,8,18,0.16503808761773886,0.1711267419022095,0.3171957758630365,0.44,0.04,0.08
SINGLE_SHIFT,0.55,18,8,8,0.1675410222765991,0.19785175594254878,0.21021085339728096,0.34,0.68,0.7
SINGLE_SHIFT,0.55,18,18,128,0.19713143544197026,0.14100120337381208,0.320452633012532,0.22,0.16,0.06
SINGLE_SHIFT,0.55,18,18,18,0.21927831481988674,0.1696592946137238,0.3841806403876462,0.02,0.0,0.56
SINGLE_SHIFT,0.55,18,8,18,0.16403287288035423,0.18225998794745188,0.3142924278423407,0.22,0.04,0.08
SINGLE_SHIFT,0.55,18,8,8,0.16392131873870674,0.17688603799046998,0.35075341447691233,0.04,0.04,0.42
SINGLE_SHIFT,0.55,18,18,8,0.21236590119443874,0.16232482329985704,0.29229759239909275,0.1,0.1,0.14
SINGLE_SHIFT,0.55,18,18,18,0.1923957198545041,0.14839943197443264,0.20088944670081366,0.54,0.38,0.6
SINGLE_SHIFT,0.55,24,18,128,0.234108678689815,0.16757377767135015,0.3335515952527484,0.22,0.4,0.08
SINGLE_SHIFT,0.55,24,18,8,0.16621559940635502,0.15242493353161032,0.23075777897758176,0.5,0.64,0.78
SINGLE_SHIFT,0.55,24,18,18,0.22778090779260848,0.17325196054503184,0.23386940435486286,0.04,0.0,0.06
SINGLE_SHIFT,0.55,24,18,18,0.19440150326142955,0.15149417074605373,0.20014750050611554,0.54,0.32,0.68
SINGLE_SHIFT,0.55,24,18,8,0.1856715568282833,0.14795592172886066,0.2817770558937505,0.0,0.04,0.08
SINGLE_SHIFT,0.55,24,8,18,0.15275072096433406,0.1550815013432081,0.29253153850784586,0.04,0.0,0.42
