shift_offset,current_segment_length,estimator,relative_scale_mae_proxy,decision_error,fast_authority_rate,conflict_rate
0.8,32,FAST_ONLY_6,0.20964967820442468,0.1846875,1.0,0.0
0.8,32,CHAINED_CONTINUITY,0.12920498169244765,0.1175,0.0,0.0
0.8,32,FAST_SLOW_BLEND,0.2745032991472532,0.23015625,0.7213933123910306,0.0
0.8,32,PROVISIONAL_FAST_AUTHORITY,0.25536863402072524,0.19015625,0.71875,0.20625
0.8,48,GLOBAL_HISTORY,0.5128949169726053,0.34484375,0.0,0.0
0.8,48,FIXED_RECENCY_32,0.09377864931999937,0.0909375,0.0,0.0
0.8,48,FAST_ONLY_6,0.21266510304954828,0.190625,1.0,0.0
0.8,48,CHAINED_CONTINUITY,0.11457206797055015,0.10203125,0.0,0.0
0.8,48,FAST_SLOW_BLEND,0.2779757735777067,0.23453125,0.6226806213555462,0.0
0.8,48,PROVISIONAL_FAST_AUTHORITY,0.2764960003724627,0.2003125,0.56875,0.325
