world,label,delta,L,p8,p18,p128,selected_scale,oracle_scale
SINGLE_SHIFT,1,0.55,12,0.2587072772682776,0.12969654182463902,0.052540096447879235,18,8
SINGLE_SHIFT,1,0.55,12,0.16272003048257377,0.14302934245766377,0.05392109987361611,128,8
SINGLE_SHIFT,1,0.55,12,0.16894576581669243,0.372429980393857,0.47542980899267073,18,8
SINGLE_SHIFT,1,0.55,12,0.6156923466223423,0.11314048044229605,0.2590876687987485,18,18
SINGLE_SHIFT,1,0.55,12,0.16073145938257408,0.194534944982907,0.1105001713062045,18,128
SINGLE_SHIFT,1,0.55,12,0.16068552860575594,0.5721243562330816,0.07724738354621996,18,8
SINGLE_SHIFT,1,0.55,18,0.19734031536593252,0.1139567022873831,0.3367451218010937,18,8
SINGLE_SHIFT,1,0.55,18,0.177621702340099,0.1324669619936313,0.04673846260827153,18,8
SINGLE_SHIFT,1,0.55,18,0.16430350060930832,0.12671816608109832,0.44582530197780623,18,18
SINGLE_SHIFT,1,0.55,18,0.19344544516990683,0.11331994231642807,0.679239459201185,18,8
SINGLE_SHIFT,1,0.55,18,0.2115897800973806,0.6982093824262331,0.04978982805751513,18,18
SINGLE_SHIFT,1,0.55,18,0.17814642741702666,0.19217974386479303,0.05723278648516982,18,18
SINGLE_SHIFT,1,0.55,18,0.16176242787911213,0.1230027005289043,0.0684421944870814,18,18
SINGLE_SHIFT,1,0.55,18,0.19731497545551954,0.2267849249234651,0.06339764615130146,18,18
SINGLE_SHIFT,1,0.55,24,0.24729005451595748,0.11369065609269814,0.3674818089017443,18,18
SINGLE_SHIFT,1,0.55,24,0.21674038267450024,0.14577163655681508,0.07327089456588143,18,8
SINGLE_SHIFT,1,0.55,24,0.7076784439627013,0.1951744812560112,0.5983974341432204,18,18
SINGLE_SHIFT,1,0.55,24,0.18169380185613943,0.1338784541683473,0.12173102467654959,18,8
SINGLE_SHIFT,1,0.55,24,0.5868866567781976,0.1315417987690701,0.2686790434011939,18,18
SINGLE_SHIFT,1,0.55,24,0.26966605193561133,0.16022982482839937,0.04815722432573218,18,18
SINGLE_SHIFT,1,0.55,24,0.16568371952916067,0.11506188740551186,0.046258878367567084,18,8
SINGLE_SHIFT,1,0.55,24,0.16207708219287806,0.13525300189950862,0.07341370678814205,18,8
SINGLE_SHIFT,1,0.55,36,0.1675240975071499,0.40726223591023425,0.447601028142928,18,18
SINGLE_SHIFT,1,0.55,36,0.23218836118130487,0.861583633275068,0.14282714487608628,8,18
SINGLE_SHIFT,1,0.55,36,0.2120058317827317,0.11590507495043899,0.5188968920817482,18,128
SINGLE_SHIFT,1,0.55,36,0.2020960897621546,0.3698735856202676,0.3373985863304258,18,8
SINGLE_SHIFT,1,0.55,36,0.5050283975112306,0.11860086642374401,0.07213422488485091,18,8
SINGLE_SHIFT,1,0.55,36,0.2509589495281154,0.11684763257197892,0.5169182784879314,18,18
SINGLE_SHIFT,1,0.55,36,0.17467719520998456,0.39810610805820185,0.06686711063487769,18,18
SINGLE_SHIFT,1,0.55,36,0.22412027097222767,0.1427575576637356,0.9960309962043383,18,8
SINGLE_SHIFT,1,0.55,48,0.16011524098753113,0.11351816170873402,0.5740224304076571,18,18
SINGLE_SHIFT,1,0.55,48,0.16887600271620984,0.18846469237540792,0.9847525846488618,18,8
SINGLE_SHIFT,1,0.55,48,0.16163250981924843,0.38821365348341397,0.7707345906899452,8,8
SINGLE_SHIFT,1,0.55,48,0.15993900114092527,0.1145379213510663,0.9999848133174551,18,8
SINGLE_SHIFT,1,0.55,48,0.2765909722430815,0.19419095737446632,0.2679179182851847,18,128
SINGLE_SHIFT,1,0.55,48,0.1995335619898419,0.17156621400777003,0.6494416240670238,18,8
SINGLE_SHIFT,1,0.55,48,0.2001505871124292,0.4634842025474216,0.7071287424059882,18,128
SINGLE_SHIFT,1,0.55,48,0.3911615299228529,0.7451479134564629,0.995626453934289,8,18
SINGLE_SHIFT,1,0.8,2,0.21112400003246204,0.11919311406383938,0.05277075716311737,18,8
SINGLE_SHIFT,1,0.8,2,0.22609838856038303,0.18895744046755875,0.04902018234922131,18,8
SINGLE_SHIFT,1,0.8,2,0.2759333318198058,0.6046201339623584,0.04547391357924412,8,8
SINGLE_SHIFT,1,0.8,2,0.17761013308827625,0.13165809908133858,0.08729397860563687,8,8
SINGLE_SHIFT,1,0.8,2,0.23669574366607313,0.22989031724968698,0.08652067342483394,18,8
