seed,model,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_quality_used,final_TF,final_I,final_A,final_H,final_maturity
18245,tdc_full_developmental_perception,0.8043478260869565,0.06666666666666667,0.3804347826086957,0.19705882352941176,0.6770426666666627,0.9076816014440667,0.95,0.95,0.9348780955124125,0.2544666897373813,0.8951028514437578
18245,tdc_no_perceptual_development,0.6304347826086957,0.196,0.4891304347826087,0.35009861932938857,0.578425777777773,0.58,0.95,0.95,0.8729898511817041,0.4146496585345347,0.8395850481617924
18245,simple_fixed_q058,0.5543478260869565,0.22533333333333333,0.5869565217391305,0.3463414634146341,0.5106791111111064,0.58,0.24,0.34,0.4,0.62,0.34
18245,simple_fixed_q084_a008,0.7422680412371134,0.08266666666666667,0.4020618556701031,0.17341040462427745,0.712563555555552,0.84,0.24,0.34,0.4,0.62,0.34
18246,tdc_full_developmental_perception,0.7608695652173914,0.07333333333333333,0.41304347826086957,0.17054263565891473,0.6794782222222185,0.9062659111652531,0.95,0.95,0.9371875983092351,0.27554276733941746,0.8904112077424544
18246,tdc_no_perceptual_development,0.6363636363636364,0.228,0.5454545454545454,0.3525390625,0.5718888888888836,0.58,0.95,0.95,0.8752623441985532,0.41528041425771195,0.8399954824852103
18246,simple_fixed_q058,0.625,0.23733333333333334,0.45,0.3572129538763494,0.5643955555555503,0.58,0.24,0.34,0.4,0.62,0.34
18246,simple_fixed_q084_a008,0.8181818181818182,0.08666666666666667,0.3246753246753247,0.19704433497536947,0.7387795555555523,0.84,0.24,0.34,0.4,0.62,0.34
18247,tdc_full_developmental_perception,0.8068181818181818,0.064,0.32954545454545453,0.1920152091254753,0.6730071111111076,0.9077816515813657,0.95,0.95,0.940499192600444,0.2575241278813258,0.8957437661797796
18247,tdc_no_perceptual_development,0.6138613861386139,0.21733333333333332,0.4752475247524752,0.3783524904214559,0.5726435555555506,0.58,0.95,0.95,0.8971126743399,0.3699908442096633,0.856780457532559
18247,simple_fixed_q058,0.5652173913043478,0.22266666666666668,0.5434782608695652,0.35009671179883944,0.566360888888883,0.58,0.24,0.34,0.4,0.62,0.34
18247,simple_fixed_q084_a008,0.8554216867469879,0.09733333333333333,0.27710843373493976,0.17704280155642024,0.7203653333333303,0.84,0.24,0.34,0.4,0.62,0.34
18248,tdc_full_developmental_perception,0.8426966292134831,0.050666666666666665,0.25842696629213485,0.18048780487804877,0.7246284444444411,0.9112082694079259,0.95,0.95,0.9415637938986113,0.20660057224113854,0.9087408054143682
