profile_id,seed,A_TF,I,C_T,R_C,H_self,weakest_link,mean_maturity,geometric_maturity,joint_interaction,target_reliability,ethical_sensitivity,ethical_sense_reliability_realized,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,deep_path_activation_rate
3450,11395,0.5022858438900013,0.40519550209030003,0.8299346810676933,0.8752832816895812,0.6517974051898889,0.34820259481011107,0.5921803807095374,0.5524945785305686,0.2533713562594706,0.7058649937644801,0.8277402824619937,0.7082228116710876,0.652,0.6981981981981982,0.36669999999999875,0.346
3451,11395,0.4883816914497328,0.9043932276758551,0.5713645068255464,0.7655321662139063,0.6031263476313866,0.3968736523686134,0.6253090489067308,0.5983139506962417,0.4042130568576014,0.777465995005516,0.7795358224267098,0.7722222222222223,0.738,0.75,0.4699999999999971,0.72
3452,11395,0.3772094568195339,0.4204097334197896,0.6084022038066299,0.3596854802315156,0.5409888801521575,0.3596854802315156,0.4449435988250623,0.43695674262074297,0.1733187090022066,0.6514460714526604,0.7184742802006956,0.6638655462184874,0.644,0.677570093457944,0.35239999999999966,0.312
3453,11395,0.47314030478537694,0.45370760833907264,0.21942265349886247,0.32236102778578374,0.5934236521421641,0.21942265349886247,0.37504158845338637,0.3614984358158814,0.16787827988530246,0.6355785959986857,0.6997256879518442,0.6054216867469879,0.624,0.6100917431192661,0.27060000000000034,0.268
3454,11395,0.3527021984455656,0.2730385297334045,0.825615001307122,0.4495523308197852,0.34722086998803675,0.2730385297334045,0.5107374380635681,0.4716189409690817,0.149434134526081,0.6476537458753887,0.7130923341852131,0.6463414634146342,0.594,0.6048780487804878,0.25700000000000034,0.26
3455,11395,0.48022736061866717,0.8322959168612489,0.2705231914843196,0.4597827527281157,0.2940474178826203,0.2705231914843196,0.5497563607619462,0.5117424861802617,0.3268285406796452,0.7293816345978981,0.6686512190330705,0.767515923566879,0.734,0.762114537444934,0.48659999999999753,0.628
3456,11395,0.7444812123297688,0.40106054733334456,0.878502967768356,0.6155425400831029,0.7469129212313003,0.25308707876869974,0.5785348692566545,0.5275540878389674,0.31122626783362173,0.7256747683011353,0.8739708513880202,0.732360097323601,0.712,0.6978723404255319,0.38689999999999863,0.822
3457,11396,0.7191852915918395,0.5150907941975653,0.4653693826464917,0.9224260465872332,0.681608720869471,0.318391279130529,0.5880925588307317,0.5506593561975404,0.3454521646123365,0.7442085932527386,0.8381993885094527,0.6997389033942559,0.69,0.6666666666666666,0.3396999999999991,0.766
3458,11396,0.21118044343909975,0.27486824877067706,0.7616860975292383,0.9429272885544986,0.16967771176079255,0.21118044343909975,0.6041968733065441,0.5103355712204982,0.12239886086424277,0.6432679243826717,0.6902260298365199,0.649546827794562,0.618,0.6681818181818182,0.31090000000000007,0.302
3459,11396,0.8469352013629681,0.24951110479963423,0.2766624183422385,0.3387670116938595,0.2357208711393633,0.24951110479963423,0.49523097301186747,0.432522464590355,0.2500387964487818,0.6828703381347523,0.720310114482756,0.6449704142011834,0.64,0.6606334841628959,0.3062000000000001,0.676
3460,11396,0.5211448555936085,0.558783301766975,0.23002503573138505,0.43777274095227614,0.17309088237673997,0.23002503573138505,0.514927010333501,0.47526594424520613,0.25573212412945623,0.6929553620985087,0.6502993853529468,0.6887417218543046,0.664,0.6275510204081632,0.3417999999999993,0.604
3461,11396,0.5016406153900197,0.836906372181677,0.2564728243998583,0.5472516161581166,0.6097556827288597,0.2564728243998583,0.5065031490801625,0.47024795143022036,0.3068415876335425,0.7135180980635276,0.7305357751298698,0.7024539877300614,0.688,0.6421568627450981,0.36339999999999906,0.652
3462,11396,0.506335652747985,0.27857009526289606,0.9384391051581396,0.7263983830189062,0.2590392917396869,0.27857009526289606,0.638140788889648,0.5895896201953759,0.23810055135601246,0.7061283632046929,0.7633672644574907,0.7254901960784313,0.718,0.7746478873239436,0.490299999999997,0.714
3463,11396,0.20545849558914708,0.25284639338628045,0.5685223908138215,0.4523111683815046,0.3542293577784636,0.20545849558914708,0.424981818078458,0.38651718676716573,0.08765554633704235,0.6063884230796476,0.6578517388153517,0.5700934579439252,0.58,0.5555555555555556,0.18,0.0
3464,11396,0.5506260232365403,0.808335118003809,0.3247857398641085,0.4838903976630922,0.49250693495279757,0.3247857398641085,0.5350260687629504,0.5129138776605225,0.3419058857165052,0.7359249699798263,0.7229065429325027,0.7638036809815951,0.722,0.7063829787234043,0.4133999999999988,0.652
