seed,model,phase,R_ethical,third_factor_volition,integration,ideal_alignment,H_self,R_gain_in_phase
12208,autonomy_only,3,0.5369977469613043,0.8625285626949447,0.3,0.38,0.66,0.0232889965687485
12208,autonomy_only,4,0.7887420133756834,0.95,0.3,0.38,0.66,0.2517442664143791
12208,autonomy_only,5,0.94,0.95,0.3,0.38,0.66,0.15125798662431655
12208,autonomy_only,6,0.94,0.95,0.3,0.38,0.66,0.0
12208,selfactualization_loop,1,0.5,0.30627473299892033,0.626923187938167,0.48399523722532123,0.6814350934683221,-0.050000000000000044
12208,selfactualization_loop,2,0.5360972740377051,0.44462174300074286,0.95,0.643335729200369,0.5662685604514235,0.03609727403770513
12208,selfactualization_loop,3,0.5887371132930822,0.5966858344410471,0.95,0.8052536698499347,0.41714939014174257,0.052639839255377074
12208,selfactualization_loop,4,0.5555576252283072,0.6669918756021546,0.95,0.8824706428735919,0.4459347294831782,-0.033179488064775
12208,selfactualization_loop,5,0.5,0.6983982112494856,0.95,0.9244639162796494,0.5538392593313534,-0.055557625228307206
12208,selfactualization_loop,6,0.5008272863027844,0.7054848314465904,0.95,0.9323473977979164,0.8660607057754766,0.0008272863027843913
12209,perception_only,1,0.5123055327947578,0.22,0.3,0.38,0.66,-0.03769446720524228
12209,perception_only,2,0.5,0.22,0.3,0.38,0.66,-0.012305532794757768
12209,perception_only,3,0.502,0.22,0.3,0.38,0.66,0.0020000000000000018
12209,perception_only,4,0.5151286782336806,0.22,0.3,0.38,0.66,0.01312867823368058
12209,perception_only,5,0.502976032,0.22,0.3,0.38,0.66,-0.01215264623368062
12209,perception_only,6,0.5203272606695999,0.22,0.3,0.38,0.66,0.017351228669599927
12209,autonomy_only,1,0.5017281883574125,0.43204708935312847,0.3,0.38,0.66,-0.04827181164258754
12209,autonomy_only,2,0.5735545634684656,0.6624509736219958,0.3,0.38,0.66,0.07182637511105305
12209,autonomy_only,3,0.7247825024583274,0.9402363887931943,0.3,0.38,0.66,0.15122793898986187
12209,autonomy_only,4,0.94,0.95,0.3,0.38,0.66,0.21521749754167252
12209,autonomy_only,5,0.94,0.95,0.3,0.38,0.66,0.0
12209,autonomy_only,6,0.9369999999999999,0.95,0.3,0.38,0.66,-0.0030000000000000027
12209,selfactualization_loop,1,0.5005852081773966,0.3025074684509253,0.6134471663974388,0.49979917880486197,0.6900982501730755,-0.04941479182260344
12209,selfactualization_loop,2,0.5028883257964974,0.41819551007793915,0.95,0.625963737410796,0.6201114787186408,0.0023031176191008473
