seed,model,final_ethical_reliability,final_third_factor_volition,final_integration,final_ideal_alignment,final_H_self,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,successful_reorganization_rate,early_R_gain,late_R_gain
12206,perception_only,0.5019521278719999,0.22,0.3,0.38,0.66,0.43666666666666665,0.4271665642286417,-0.0811111111111111,0.7223607647547797,0.0,-0.050000000000000044,0.0019521278719999424
12206,autonomy_only,0.94,0.95,0.3,0.38,0.66,0.5319444444444444,0.5355805243445693,0.10526111111111298,0.3312883435582822,0.0,-0.043623426697839474,0.11704673969459423
12206,selfactualization_loop,0.5,0.6731193611501003,0.95,0.9290907504249117,0.9,0.505,0.4773838630806846,0.01636666666666616,0.32687447346251053,0.4594594594594595,-0.03132855404951407,-0.0016010841848482782
12207,perception_only,0.5092009772832976,0.22,0.3,0.38,0.66,0.43916666666666665,0.43951367781155015,-0.07305555555555555,0.6998313659359191,0.0,-0.04800000000000004,-0.01713028672321326
12207,autonomy_only,0.94,0.95,0.3,0.38,0.66,0.5169444444444444,0.5177696078431373,0.06612222222222176,0.33678756476683935,0.0,-0.03587753771032376,0.27415899312910375
12207,selfactualization_loop,0.5,0.664463787579491,0.95,0.9284741465386923,0.9,0.5033333333333333,0.4934903905765654,0.03600277777777737,0.353476821192053,0.4290521592821088,-0.03225016754703658,0.0
12208,perception_only,0.5056701631517811,0.22,0.3,0.38,0.66,0.43472222222222223,0.42927429274292744,-0.08083333333333333,0.7099827882960413,0.0,-0.03910736255309932,0.0037060352797811946
12208,autonomy_only,0.94,0.95,0.3,0.38,0.66,0.5402777777777777,0.5518087063151441,0.12057500000000257,0.3439108061749571,0.0,-0.03629124960744423,0.15125798662431655
12208,selfactualization_loop,0.5008272863027844,0.7054848314465904,0.95,0.9323473977979164,0.8660607057754766,0.4988888888888889,0.5022479126525369,0.05535833333333295,0.3399653979238754,0.4438916528468767,-0.013902725962294915,-0.054730338925522815
12209,perception_only,0.5203272606695999,0.22,0.3,0.38,0.66,0.44333333333333336,0.44908285895003164,-0.04055555555555555,0.6995555555555556,0.0,-0.050000000000000044,0.005198582435919308
12209,autonomy_only,0.9369999999999999,0.95,0.3,0.38,0.66,0.5538888888888889,0.5532043530834341,0.1295500000000034,0.33502109704641353,0.0,0.023554563468465517,-0.0030000000000000027
12209,selfactualization_loop,0.5,0.683301095924006,0.95,0.9289671937041002,0.8888565118044105,0.5047222222222222,0.5071561916614811,0.051330555555555185,0.36607142857142855,0.4276076803321225,-0.047111674203502596,0.0
12210,perception_only,0.5,0.22,0.3,0.38,0.66,0.445,0.42775665399239543,-0.056666666666666664,0.6991942703670546,0.0,-0.038119361916930106,-0.0020000000000000018
12210,autonomy_only,0.94,0.95,0.3,0.38,0.66,0.5444444444444444,0.533050333535476,0.102925000000001,0.31278748850046,0.0,-0.037290378489058584,0.08966031878501468
12210,selfactualization_loop,0.5008186382978482,0.6944027716198686,0.95,0.9319706938918763,0.8991382754759493,0.4897222222222222,0.47953573610262673,0.002747222222222033,0.34050179211469533,0.4718514219384794,-0.01487777096604015,-0.0034772358796490987
12211,perception_only,0.5,0.22,0.3,0.38,0.66,0.4438888888888889,0.4542719614921781,-0.06,0.7110912343470484,0.0,-0.050000000000000044,-0.0112429950692009
12211,autonomy_only,0.501777312,0.222164,0.3,0.38,0.66,0.4444444444444444,0.45323289391086,-0.03949444444444444,0.7055702917771883,0.0,-0.04733403200000008,0.0017773119999999754
12211,selfactualization_loop,0.5006237494512308,0.661404532169314,0.95,0.9219027277216892,0.8993434216302835,0.4988888888888889,0.5065666041275797,0.04723055555555509,0.34256055363321797,0.3917525773195876,-0.03207631265051303,-0.0015296557076727169
12212,perception_only,0.503992,0.22,0.3,0.38,0.66,0.4452777777777778,0.4405506883604506,-0.05138888888888889,0.6817792985457656,0.0,-0.0450478721280001,0.0030000000000000027
12212,autonomy_only,0.94,0.95,0.3,0.38,0.66,0.5352777777777777,0.5415647921760391,0.10497777777778007,0.31547104580812446,0.0,-0.04809020499312733,0.23753594636347608
12212,selfactualization_loop,0.5,0.6746294580280474,0.95,0.9218223491750234,0.9,0.4936111111111111,0.4956575682382134,0.028511111111110782,0.365768896611642,0.4047010730710271,-0.014054577376841015,-0.0024868018883630327
12213,perception_only,0.5068137350686147,0.22,0.3,0.38,0.66,0.4363888888888889,0.43144654088050316,-0.06583333333333333,0.6820119352088662,0.0,-0.044261376063659874,-0.005043457477073021
12213,autonomy_only,0.94,0.95,0.3,0.38,0.66,0.5252777777777777,0.5306633291614519,0.09529444444444547,0.33074265975820377,0.0,-0.04241690875977655,0.3242898288301236
12213,selfactualization_loop,0.5,0.7310714555260268,0.95,0.9318866320909762,0.8234292924493607,0.48277777777777775,0.491128010139417,0.023516666666666405,0.3579734219269103,0.41572481572481573,-0.031098785319833677,-0.04609285488039172
12214,perception_only,0.5058871862399189,0.22,0.3,0.38,0.66,0.43333333333333335,0.4265519360786724,-0.085,0.7047781569965871,0.0,-0.022564898964470115,0.0018951862399189112
12214,autonomy_only,0.9210000000000002,0.95,0.3,0.38,0.66,0.5297222222222222,0.5287704421562689,0.0837416666666674,0.3272394881170018,0.0,-0.031587347947195865,0.2424263641839437
12214,selfactualization_loop,0.5,0.7193465305245612,0.95,0.9300233674405551,0.7845441419149523,0.4961111111111111,0.491494532199271,0.01739444444444403,0.35545454545454547,0.4326530612244898,-0.03758080901199479,-0.004146963410828208
12215,perception_only,0.502,0.22,0.3,0.38,0.66,0.4425,0.43061605476042314,-0.06583333333333333,0.6797945205479452,0.0,-0.050000000000000044,-0.0019919999999999938
12215,autonomy_only,0.9369999999999999,0.95,0.3,0.38,0.66,0.5341666666666667,0.5402786190187765,0.0987416666666674,0.32838283828382836,0.0,-0.004070648623090478,0.07714695487221312
12215,selfactualization_loop,0.5008231839350961,0.6820977741395753,0.95,0.9303404373128898,0.8991334905946358,0.5008333333333334,0.4977890082122552,0.04597499999999961,0.36992221261884184,0.4371584699453552,-0.028217497104811695,0.0008231839350960612
12216,perception_only,0.5078451155307376,0.22,0.3,0.38,0.66,0.4558333333333333,0.45949214026602175,-0.04083333333333333,0.674087266251113,0.0,-0.049043824447488005,-0.008307022181620383
12216,autonomy_only,0.94,0.95,0.3,0.38,0.66,0.5161111111111111,0.4907862407862408,0.04198888888888866,0.3374125874125874,0.0,-0.042878999382902516,0.29267155600882233
12216,selfactualization_loop,0.5,0.7048560963461016,0.95,0.9337081736912521,0.9,0.505,0.5092936802973977,0.05154999999999963,0.3505244755244755,0.45444801714898175,-0.037395187106768146,0.0
12217,perception_only,0.5093190499378967,0.22,0.3,0.38,0.66,0.4275,0.41385767790262173,-0.09416666666666666,0.7109440267335004,0.0,-0.050000000000000044,0.002360575410120247
12217,autonomy_only,0.9386,0.95,0.3,0.38,0.66,0.5016666666666667,0.5054678007290401,0.03572777777777747,0.3529929577464789,0.0,-0.03613634271713562,0.3447986948402072
12217,selfactualization_loop,0.5,0.6385033291517891,0.95,0.9224562199968952,0.9,0.5122222222222222,0.5220048899755502,0.06414444444444396,0.3391915641476274,0.4396248534583822,-0.041687331368133185,-0.0010614792446068666
12218,perception_only,0.506920319360512,0.22,0.3,0.38,0.66,0.4266666666666667,0.43746186699206835,-0.08555555555555555,0.7179269328802039,0.0,-0.050000000000000044,0.006920319360511962
12218,autonomy_only,0.9369999999999999,0.95,0.3,0.38,0.66,0.5130555555555556,0.5204460966542751,0.06960555555555506,0.3373493975903614,0.0,-0.03596136805200567,0.28614826681112715
