seed,policy,long_term_trajectory_value,high_risk_accuracy,irreversible_violation_rate,deep_path_activation_rate,probe_rate,low_risk_opportunity_cost
10144,voi_probe,0.33593611111111227,0.7987421383647799,0.20125786163522014,0.2577777777777778,0.08944444444444444,0.0
10144,always_probe_high_risk,0.3205166666666654,0.7987421383647799,0.20125786163522014,0.25555555555555554,0.53,0.0
10144,oracle_key_audit_only,0.39951111111111537,0.8343815513626834,0.16561844863731656,0.2588888888888889,0.0,0.0
10145,hard_key_continuous,0.2744666666666649,0.76033934252386,0.23966065747614,0.2677777777777778,0.0,0.0
10145,threshold_probe_v245,0.3127666666666649,0.7868504772004242,0.21314952279957583,0.26166666666666666,0.17555555555555555,0.0
10145,voi_probe,0.3141388888888877,0.7857900318133616,0.2142099681866384,0.26222222222222225,0.08555555555555555,0.0
10145,always_probe_high_risk,0.2934638888888817,0.782608695652174,0.21739130434782608,0.2561111111111111,0.5238888888888888,0.0
10145,oracle_key_audit_only,0.3704666666666684,0.8176033934252386,0.1823966065747614,0.2677777777777778,0.0,0.0
10146,hard_key_continuous,0.3240888888888906,0.7899159663865546,0.21008403361344538,0.26555555555555554,0.0,0.0
10146,threshold_probe_v245,0.3513333333333356,0.8098739495798319,0.19012605042016806,0.2627777777777778,0.18666666666666668,0.0
10146,voi_probe,0.36491666666667044,0.8161764705882353,0.18382352941176472,0.2627777777777778,0.10333333333333333,0.0
