seed,model,irreversible_recall,reversible_recall,critical_precision,false_alarm_rate,review_trigger_rate,irreversible_core_violation_rate,reversible_miss_rate,net_vigilance_value,long_term_trajectory_value,final_threshold_irreversible,final_threshold_reversible
15041,global_recall_constrained,0.8189473684210526,0.7913165266106442,0.34665697674418605,0.2724242424242424,0.416969696969697,0.2863157894736842,0.31512605042016806,0.7127059188201819,0.7342230303030338,0.42300000000000004,0.42300000000000004
15041,hierarchical_recall_constrained,0.8496993987975952,0.6015151515151516,0.3876298394711992,0.1965151515151515,0.3209090909090909,0.2865731462925852,0.47575757575757577,0.7064712024443771,0.712022424242426,0.28,0.74
15041,severity_weighted_hierarchical,0.8330134357005758,0.4483260553129549,0.3850544888427608,0.17954545454545454,0.291969696969697,0.272552783109405,0.611353711790393,0.6758099382706327,0.6781851515151522,0.42,0.6
15042,fixed_threshold,0.7021696252465484,0.6085106382978723,0.49778059606848446,0.12,0.23893939393939395,0.41025641025641024,0.4652482269503546,0.6582087629272966,0.6642912121212091,0.58,0.58
15042,global_recall_constrained,0.852670349907919,0.7636363636363637,0.37135176651305685,0.24803030303030302,0.39454545454545453,0.2578268876611418,0.33484848484848484,0.732079567423606,0.7372339393939413,0.47100000000000014,0.47100000000000014
15042,hierarchical_recall_constrained,0.844311377245509,0.6013888888888889,0.4060721062618596,0.1896969696969697,0.3193939393939394,0.2654690618762475,0.4625,0.7110167828737901,0.7155890909090918,0.28,0.74
15042,severity_weighted_hierarchical,0.8253012048192772,0.4635958395245171,0.3738366080661841,0.18348484848484847,0.29303030303030303,0.26907630522088355,0.5839524517087668,0.673692725783608,0.6944733333333335,0.42,0.6
15043,fixed_threshold,0.658051689860835,0.591304347826087,0.5010169491525424,0.11151515151515151,0.22348484848484848,0.43538767395626243,0.48695652173913045,0.6354820778817415,0.6532954545454522,0.58,0.58
15043,global_recall_constrained,0.8317929759704251,0.7784431137724551,0.34227240649259,0.2824242424242424,0.4293939393939394,0.24953789279112754,0.3008982035928144,0.7187743218243594,0.7416854545454584,0.5310000000000001,0.5310000000000001
15043,hierarchical_recall_constrained,0.8494208494208494,0.6024844720496895,0.3719676549865229,0.21181818181818182,0.3372727272727273,0.22586872586872586,0.484472049689441,0.7106905660953241,0.7330963636363662,0.28,0.3448000000000004
15043,severity_weighted_hierarchical,0.7917485265225933,0.48988439306358383,0.389092815941269,0.1765151515151515,0.28893939393939394,0.31237721021611004,0.5794797687861272,0.6622188242990119,0.6702881818181821,0.42,0.6
15044,fixed_threshold,0.6451016635859519,0.6327769347496206,0.5009810333551341,0.1156060606060606,0.23166666666666666,0.43068391866913125,0.44613050075872535,0.6379290031397283,0.6549081818181798,0.58,0.58
15044,global_recall_constrained,0.8183673469387756,0.7938288920056101,0.3552534900808229,0.26590909090909093,0.4124242424242424,0.29591836734693877,0.30575035063113604,0.7137390354117894,0.7299533333333357,0.6330000000000002,0.6330000000000002
15044,hierarchical_recall_constrained,0.8057259713701431,0.6033519553072626,0.3994197292069632,0.18818181818181817,0.31333333333333335,0.2965235173824131,0.4776536312849162,0.6907057865611226,0.7017951515151521,0.28,0.74
15044,severity_weighted_hierarchical,0.8513238289205702,0.4682651622002821,0.3894080996884735,0.1781818181818182,0.2918181818181818,0.2484725050916497,0.5937940761636107,0.6909545878197855,0.6962781818181817,0.42,0.6
15045,fixed_threshold,0.7003968253968254,0.6064610866372981,0.4938749194068343,0.11893939393939394,0.235,0.3888888888888889,0.47723935389133626,0.6596245411413657,0.6765584848484828,0.58,0.58
15045,global_recall_constrained,0.8011583011583011,0.8045325779036827,0.3482111229188806,0.2787878787878788,0.42772727272727273,0.28185328185328185,0.2790368271954674,0.7080789592389992,0.7338906060606085,0.6270000000000002,0.6270000000000002
15045,hierarchical_recall_constrained,0.8594059405940594,0.6050670640834576,0.4057971014492754,0.18636363636363637,0.31363636363636366,0.25742574257425743,0.47242921013412814,0.7191987436804977,0.7248818181818186,0.28,0.5704
15045,severity_weighted_hierarchical,0.8408644400785854,0.4513888888888889,0.38874548270521425,0.17939393939393938,0.29348484848484846,0.2966601178781925,0.5972222222222222,0.6767353640340489,0.6663760606060598,0.42,0.6
15046,fixed_threshold,0.7,0.6181556195965417,0.48462021343377276,0.12439393939393939,0.24136363636363636,0.3877551020408163,0.47406340057636887,0.6595942586637942,0.6793784848484821,0.58,0.58
15046,global_recall_constrained,0.7995642701525054,0.8012048192771084,0.33051470588235293,0.2759090909090909,0.4121212121212121,0.3202614379084967,0.3177710843373494,0.6989792362557777,0.7286848484848519,0.45899999999999974,0.45899999999999974
15046,hierarchical_recall_constrained,0.845691382765531,0.6049204052098408,0.41015625,0.18303030303030304,0.3103030303030303,0.23847695390781562,0.467438494934877,0.7174368161332532,0.7334133333333345,0.28,0.74
15046,severity_weighted_hierarchical,0.837573385518591,0.4742547425474255,0.3911513323278029,0.18348484848484847,0.3013636363636364,0.25244618395303325,0.5934959349593496,0.6856187734668151,0.6825384848484851,0.42,0.6
15047,fixed_threshold,0.6719367588932806,0.6427503736920778,0.506578947368421,0.11363636363636363,0.23030303030303031,0.4308300395256917,0.4289985052316891,0.6515698332308731,0.6715030303030274,0.58,0.58
15047,global_recall_constrained,0.8323471400394478,0.7795163584637269,0.34384969868840837,0.28045454545454546,0.42742424242424243,0.25443786982248523,0.31721194879089615,0.7189919050997019,0.7395615151515188,0.3,0.3
15047,hierarchical_recall_constrained,0.8874734607218684,0.6099290780141844,0.41325536062378165,0.18242424242424243,0.3109090909090909,0.23779193205944799,0.47801418439716314,0.7357156964518738,0.7347987878787873,0.28,0.74
15047,severity_weighted_hierarchical,0.828,0.46805555555555556,0.39505523408732246,0.17424242424242425,0.288030303030303,0.262,0.6097222222222223,0.6810697465448806,0.6823918181818176,0.42,0.6
15048,fixed_threshold,0.7002012072434608,0.5972644376899696,0.4862204724409449,0.11863636363636364,0.2309090909090909,0.3722334004024145,0.47720364741641336,0.6590343175794284,0.6906763636363619,0.58,0.58
15048,global_recall_constrained,0.8336798336798337,0.7813884785819794,0.34675615212527966,0.26545454545454544,0.40636363636363637,0.2785862785862786,0.31314623338257014,0.7187462195001101,0.7423109090909129,0.36900000000000005,0.36900000000000005
15048,hierarchical_recall_constrained,0.8275154004106776,0.6039156626506024,0.3771106941838649,0.2012121212121212,0.32303030303030306,0.28542094455852157,0.5060240963855421,0.6959443037271503,0.7066896969696989,0.28,0.74
15048,severity_weighted_hierarchical,0.810379241516966,0.45982142857142855,0.37572254335260113,0.18,0.28833333333333333,0.30538922155688625,0.6011904761904762,0.6626806696680958,0.673963333333333,0.42,0.6
15049,fixed_threshold,0.66015625,0.6111929307805597,0.4836223506743738,0.12181818181818181,0.2359090909090909,0.44140625,0.46686303387334316,0.6350417468302187,0.6516063636363613,0.58,0.58
15049,global_recall_constrained,0.8188824662813102,0.7910014513788098,0.3519593613933237,0.2706060606060606,0.4175757575757576,0.27552986512524086,0.3178519593613933,0.7151998371933806,0.7303963636363671,0.48000000000000015,0.48000000000000015
15049,hierarchical_recall_constrained,0.8421052631578947,0.6021671826625387,0.3827864954826438,0.19666666666666666,0.31863636363636366,0.27530364372469635,0.46904024767801855,0.7043355272981804,0.7223875757575773,0.28,0.74
15049,severity_weighted_hierarchical,0.825187969924812,0.48125937031484256,0.39276485788113696,0.17803030303030304,0.29318181818181815,0.2650375939849624,0.5742128935532234,0.6810753523660473,0.6928348484848478,0.42,0.6
15050,fixed_threshold,0.6772388059701493,0.6193103448275862,0.5046612802983219,0.12075757575757576,0.24378787878787878,0.416044776119403,0.46482758620689657,0.6503800115571312,0.6471627272727246,0.58,0.58
15050,global_recall_constrained,0.8319838056680162,0.7786032689450223,0.3406193078324226,0.27424242424242423,0.4159090909090909,0.2692307692307692,0.3135215453194651,0.7168398013290995,0.7416924242424281,0.34199999999999997,0.34199999999999997
15050,hierarchical_recall_constrained,0.8430232558139535,0.6048850574712644,0.39392544868844914,0.19954545454545455,0.3292424242424242,0.25775193798449614,0.47270114942528735,0.709085958597277,0.7149360606060626,0.28,0.74
15050,severity_weighted_hierarchical,0.8224489795918367,0.5036710719530103,0.3857290589451913,0.18,0.29303030303030303,0.28775510204081634,0.566813509544787,0.679471319933793,0.6913521212121223,0.42,0.6
15051,fixed_threshold,0.7080745341614907,0.5928057553956835,0.4944262295081967,0.11681818181818182,0.23106060606060605,0.38095238095238093,0.4935251798561151,0.6616915312056155,0.6814015151515134,0.58,0.58
15051,global_recall_constrained,0.8212765957446808,0.7894736842105263,0.32848527846754166,0.2868181818181818,0.4271212121212121,0.27872340425531916,0.3216374269005848,0.7097340875966472,0.7375657575757614,0.5670000000000002,0.5670000000000002
15051,hierarchical_recall_constrained,0.8533333333333334,0.6040816326530613,0.40343735866123925,0.19984848484848486,0.335,0.24,0.4816326530612245,0.7170361864148646,0.712067575757577,0.28,0.74
15051,severity_weighted_hierarchical,0.8360995850622407,0.5453315290933695,0.4124872057318321,0.17393939393939395,0.2960606060606061,0.3070539419087137,0.523680649526387,0.6947371830388487,0.6857945454545453,0.42,0.6
15052,fixed_threshold,0.6863117870722434,0.5891016200294551,0.48938906752411576,0.1203030303030303,0.2356060606060606,0.41064638783269963,0.5007363770250368,0.6469383993051162,0.6526409090909061,0.58,0.58
15052,global_recall_constrained,0.8180112570356473,0.7899280575539568,0.36905207943049834,0.25515151515151513,0.4043939393939394,0.2926829268292683,0.32805755395683456,0.7168460943085716,0.7185809090909119,0.72,0.72
15052,hierarchical_recall_constrained,0.8147410358565738,0.6064139941690962,0.3972075108329321,0.1896969696969697,0.3146969696969697,0.27689243027888444,0.4606413994169096,0.6970755584236558,0.7163821212121229,0.28,0.74
15052,severity_weighted_hierarchical,0.863265306122449,0.4876712328767123,0.3914572864321608,0.18348484848484847,0.3015151515151515,0.2571428571428571,0.5726027397260274,0.6977019283777518,0.6925363636363631,0.42,0.6
15053,fixed_threshold,0.6627218934911243,0.5971428571428572,0.49377865094957435,0.11712121212121213,0.23136363636363635,0.4339250493096647,0.4828571428571429,0.6367750034761974,0.6504275757575742,0.58,0.58
15053,global_recall_constrained,0.8530612244897959,0.764792899408284,0.32174810736407433,0.29863636363636364,0.4403030303030303,0.24693877551020407,0.35502958579881655,0.7199591166598691,0.7368357575757616,0.44399999999999973,0.44399999999999973
15053,hierarchical_recall_constrained,0.8329853862212944,0.6043795620437956,0.39485186983972803,0.18878787878787878,0.31196969696969695,0.2797494780793319,0.4759124087591241,0.7033393024451055,0.7175112121212129,0.28,0.74
15053,severity_weighted_hierarchical,0.8191681735985533,0.4824561403508772,0.3980681240467717,0.17939393939393938,0.29803030303030303,0.2965641952983725,0.5730994152046783,0.6751540144810179,0.6683124242424237,0.42,0.6
