seed,model,phase1_external_reward,phase2_external_reward,phase1_core_accuracy,phase2_core_accuracy,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,phase2_reward_capture_rate,developmental_transfer_score,long_term_trajectory_value
12910,hybrid_reward_and_ethics,0.5232,0.5068,0.5504,0.5476,0.95,0.7347511063084619,0.8662843643788842,0.8916559279409947,0.31222938137267,0.2584,0.7377764476551251,0.047626000000003145
12911,static_baseline,0.4732,0.5036,0.4568,0.4416,0.24,0.56,0.32,0.4,0.64,0.3064,0.41984,-0.13424000000000125
12911,success_fed_thirdfactor,0.9712,1.0,0.7428,0.4296,0.95,0.899000000000028,0.32,0.4,0.64,0.5704,0.38984,0.1301539999999931
12911,ethicalsense_plus_idealgap,0.524,0.4956,0.5604,0.6236,0.49455548274364003,0.94,0.8931335293977566,0.9158201764579811,0.3087709178536145,0.2212,0.7762261123160044,0.12084599999999816
12911,hybrid_reward_and_ethics,0.53,0.5068,0.5504,0.5592,0.95,0.7344770431523073,0.8657384081818297,0.8911645673636462,0.3125569550909028,0.2592,0.7408952802136421,0.07217199999999728
12912,static_baseline,0.4688,0.5044,0.4332,0.4696,0.24,0.56,0.32,0.4,0.64,0.2996,0.42892,-0.1311600000000024
12912,success_fed_thirdfactor,0.9668,1.0,0.73,0.4372,0.95,0.9190000000000029,0.32,0.4,0.64,0.5628,0.39288,0.1273929999999959
12912,ethicalsense_plus_idealgap,0.5296,0.4868,0.5644,0.6076,0.47575044149671586,0.94,0.8927886203144095,0.9155097582829694,0.2996443244968297,0.2156,0.7732085149590999,0.10612199999999693
12912,hybrid_reward_and_ethics,0.5268,0.4956,0.5592,0.5532,0.95,0.7345343002908742,0.8658231050721921,0.8912407945649738,0.3125061369566839,0.25,0.7400588991121793,0.055469000000000025
12913,static_baseline,0.4788,0.502,0.4624,0.448,0.24,0.56,0.32,0.4,0.64,0.3144,0.42096,-0.1216399999999992
12913,success_fed_thirdfactor,0.9604,1.0,0.738,0.436,0.95,0.9280000000000059,0.32,0.4,0.64,0.564,0.3924,0.12283099999999668
12913,ethicalsense_plus_idealgap,0.5488,0.4872,0.5712,0.6036,0.4807244835187016,0.93773932584572,0.8928838971466633,0.9155955074319976,0.30205512404201984,0.2228,0.7709673876810291,0.11806999999999823
